loss: XXXXXXX corr: Y (ZZZZZZZZZZZ) completed in 0m 0s
Epoch 0/0
----------
loss: 2.3585 corr: 64 (128/2257759) completed in 0m 2.500s
loss: 1.8980 corr: 72 (256/2257759) completed in 0m 0.913s
loss: 1.7695 corr: 78 (384/2257759) completed in 0m 0.848s
loss: 2.1413 corr: 75 (512/2257759) completed in 0m 0.857s
loss: 1.5940 corr: 74 (640/2257759) completed in 0m 0.819s
loss: 1.6964 corr: 74 (768/2257759) completed in 0m 0.779s
loss: 1.7749 corr: 73 (896/2257759) completed in 0m 0.853s
loss: 1.7770 corr: 79 (1024/2257759) completed in 0m 0.826s
loss: 1.3736 corr: 86 (1152/2257759) completed in 0m 0.823s
loss: 1.6700 corr: 82 (1280/2257759) completed in 0m 0.872s
loss: 1.6836 corr: 82 (1408/2257759) completed in 0m 0.862s
loss: 1.6762 corr: 82 (1536/2257759) completed in 0m 0.810s
loss: 1.7157 corr: 77 (1664/2257759) completed in 0m 0.834s
loss: 1.6654 corr: 78 (1792/2257759) completed in 0m 0.831s
loss: 1.6753 corr: 76 (1920/2257759) completed in 0m 0.823s
loss: 1.2766 corr: 90 (2048/2257759) completed in 0m 0.843s
loss: 1.4457 corr: 85 (2176/2257759) completed in 0m 0.926s
loss: 1.6128 corr: 74 (2304/2257759) completed in 0m 1.008s
loss: 1.5081 corr: 78 (2432/2257759) completed in 0m 0.825s
loss: 1.5767 corr: 81 (2560/2257759) completed in 0m 0.821s
loss: 1.5761 corr: 81 (2688/2257759) completed in 0m 0.811s
loss: 1.5350 corr: 76 (2816/2257759) completed in 0m 0.780s
loss: 1.4335 corr: 82 (2944/2257759) completed in 0m 0.847s
loss: 1.7159 corr: 74 (3072/2257759) completed in 0m 0.795s
loss: 1.3716 corr: 83 (3200/2257759) completed in 0m 0.829s
loss: 1.5804 corr: 79 (3328/2257759) completed in 0m 0.836s
loss: 1.4721 corr: 89 (3456/2257759) completed in 0m 0.875s
loss: 1.6262 corr: 77 (3584/2257759) completed in 0m 0.844s
loss: 1.2389 corr: 84 (3712/2257759) completed in 0m 0.822s
loss: 1.8439 corr: 71 (3840/2257759) completed in 0m 0.840s
loss: 1.7418 corr: 74 (3968/2257759) completed in 0m 0.861s
loss: 1.5420 corr: 83 (4096/2257759) completed in 0m 0.793s
loss: 1.2552 corr: 91 (4224/2257759) completed in 0m 0.821s
loss: 1.6642 corr: 78 (4352/2257759) completed in 0m 0.813s
loss: 1.5390 corr: 75 (4480/2257759) completed in 0m 0.771s
loss: 1.3559 corr: 81 (4608/2257759) completed in 0m 0.833s
loss: 1.3760 corr: 86 (4736/2257759) completed in 0m 0.790s
loss: 1.4255 corr: 86 (4864/2257759) completed in 0m 0.797s
loss: 1.7344 corr: 75 (4992/2257759) completed in 0m 0.812s
loss: 1.4341 corr: 73 (5120/2257759) completed in 0m 0.798s
loss: 1.4396 corr: 89 (5248/2257759) completed in 0m 0.802s
loss: 1.3963 corr: 84 (5376/2257759) completed in 0m 0.825s
loss: 1.5708 corr: 78 (5504/2257759) completed in 0m 0.821s
loss: 1.4545 corr: 81 (5632/2257759) completed in 0m 0.849s
loss: 1.5628 corr: 82 (5760/2257759) completed in 0m 0.808s
loss: 1.7724 corr: 67 (5888/2257759) completed in 0m 0.847s
loss: 1.3000 corr: 87 (6016/2257759) completed in 0m 0.822s
loss: 1.1772 corr: 95 (6144/2257759) completed in 0m 0.830s
loss: 1.2911 corr: 87 (6272/2257759) completed in 0m 0.826s
loss: 1.3737 corr: 88 (6400/2257759) completed in 0m 0.812s
loss: 1.5030 corr: 79 (6528/2257759) completed in 0m 0.847s
loss: 1.6847 corr: 75 (6656/2257759) completed in 0m 0.835s
loss: 1.3746 corr: 78 (6784/2257759) completed in 0m 0.821s
loss: 1.5799 corr: 80 (6912/2257759) completed in 0m 0.850s
loss: 1.5464 corr: 78 (7040/2257759) completed in 0m 0.844s
loss: 1.7732 corr: 72 (7168/2257759) completed in 0m 0.839s
loss: 1.5618 corr: 75 (7296/2257759) completed in 0m 0.835s
loss: 1.5587 corr: 79 (7424/2257759) completed in 0m 0.792s
loss: 1.4691 corr: 82 (7552/2257759) completed in 0m 0.854s
loss: 1.8562 corr: 77 (7680/2257759) completed in 0m 0.807s
loss: 1.6322 corr: 70 (7808/2257759) completed in 0m 0.819s
loss: 1.4367 corr: 85 (7936/2257759) completed in 0m 0.808s
loss: 1.5564 corr: 80 (8064/2257759) completed in 0m 0.812s
loss: 1.2949 corr: 83 (8192/2257759) completed in 0m 0.904s
loss: 1.3604 corr: 86 (8320/2257759) completed in 0m 0.819s
loss: 1.6855 corr: 65 (8448/2257759) completed in 0m 0.808s
loss: 1.4815 corr: 82 (8576/2257759) completed in 0m 0.831s
loss: 1.5888 corr: 77 (8704/2257759) completed in 0m 0.824s
loss: 1.3075 corr: 75 (8832/2257759) completed in 0m 0.869s
loss: 1.3901 corr: 74 (8960/2257759) completed in 0m 0.938s
loss: 1.5344 corr: 78 (9088/2257759) completed in 0m 0.876s
loss: 1.3073 corr: 90 (9216/2257759) completed in 0m 0.799s
loss: 1.3961 corr: 79 (9344/2257759) completed in 0m 0.825s
loss: 1.1329 corr: 85 (9472/2257759) completed in 0m 0.812s
loss: 1.3483 corr: 81 (9600/2257759) completed in 0m 0.794s
loss: 1.3369 corr: 82 (9728/2257759) completed in 0m 0.803s
loss: 1.3088 corr: 80 (9856/2257759) completed in 0m 0.816s
loss: 1.2303 corr: 85 (9984/2257759) completed in 0m 0.868s
loss: 1.7714 corr: 73 (10112/2257759) completed in 0m 0.886s
loss: 1.3214 corr: 87 (10240/2257759) completed in 0m 0.805s
loss: 1.4342 corr: 83 (10368/2257759) completed in 0m 0.843s
loss: 1.3054 corr: 79 (10496/2257759) completed in 0m 0.828s
loss: 1.6887 corr: 69 (10624/2257759) completed in 0m 0.857s
loss: 1.1311 corr: 87 (10752/2257759) completed in 0m 0.821s
loss: 1.4624 corr: 79 (10880/2257759) completed in 0m 0.876s
loss: 1.3252 corr: 77 (11008/2257759) completed in 0m 0.897s
loss: 1.7581 corr: 79 (11136/2257759) completed in 0m 0.816s
loss: 1.5945 corr: 74 (11264/2257759) completed in 0m 0.821s
loss: 1.6368 corr: 74 (11392/2257759) completed in 0m 0.806s
loss: 1.3224 corr: 83 (11520/2257759) completed in 0m 0.796s
loss: 1.4503 corr: 78 (11648/2257759) completed in 0m 0.914s
loss: 1.5271 corr: 87 (11776/2257759) completed in 0m 0.881s
loss: 1.4219 corr: 84 (11904/2257759) completed in 0m 0.825s
loss: 1.5167 corr: 82 (12032/2257759) completed in 0m 0.810s
loss: 1.2345 corr: 85 (12160/2257759) completed in 0m 0.845s
loss: 1.3994 corr: 83 (12288/2257759) completed in 0m 0.876s
loss: 1.8041 corr: 73 (12416/2257759) completed in 0m 0.816s
loss: 1.1341 corr: 84 (12544/2257759) completed in 0m 0.837s
loss: 1.3692 corr: 80 (12672/2257759) completed in 0m 0.808s
loss: 1.4065 corr: 78 (12800/2257759) completed in 0m 0.813s
loss: 1.3610 corr: 82 (12928/2257759) completed in 0m 0.841s
loss: 1.7738 corr: 74 (13056/2257759) completed in 0m 0.823s
loss: 1.7334 corr: 73 (13184/2257759) completed in 0m 0.831s
loss: 1.4623 corr: 74 (13312/2257759) completed in 0m 0.808s
loss: 1.5172 corr: 78 (13440/2257759) completed in 0m 0.843s
loss: 1.8502 corr: 74 (13568/2257759) completed in 0m 0.844s
loss: 1.4897 corr: 86 (13696/2257759) completed in 0m 0.828s
loss: 1.5552 corr: 81 (13824/2257759) completed in 0m 0.839s
loss: 1.3878 corr: 82 (13952/2257759) completed in 0m 0.806s
loss: 1.5203 corr: 76 (14080/2257759) completed in 0m 0.795s
loss: 1.6189 corr: 70 (14208/2257759) completed in 0m 0.826s
loss: 1.3708 corr: 78 (14336/2257759) completed in 0m 0.812s
loss: 1.4920 corr: 78 (14464/2257759) completed in 0m 0.951s
loss: 1.7205 corr: 78 (14592/2257759) completed in 0m 0.821s
loss: 1.3363 corr: 87 (14720/2257759) completed in 0m 0.814s
loss: 1.7020 corr: 64 (14848/2257759) completed in 0m 0.835s
loss: 1.4736 corr: 75 (14976/2257759) completed in 0m 0.838s
loss: 1.2753 corr: 87 (15104/2257759) completed in 0m 0.833s
loss: 1.5494 corr: 75 (15232/2257759) completed in 0m 0.823s
loss: 1.2138 corr: 86 (15360/2257759) completed in 0m 0.820s
loss: 1.4715 corr: 74 (15488/2257759) completed in 0m 0.780s
loss: 1.3314 corr: 80 (15616/2257759) completed in 0m 0.836s
loss: 1.7492 corr: 70 (15744/2257759) completed in 0m 0.898s
loss: 1.5643 corr: 81 (15872/2257759) completed in 0m 0.878s
loss: 1.4464 corr: 86 (16000/2257759) completed in 0m 0.802s
loss: 1.3670 corr: 80 (16128/2257759) completed in 0m 0.836s
loss: 1.4713 corr: 80 (16256/2257759) completed in 0m 0.786s
loss: 1.5514 corr: 78 (16384/2257759) completed in 0m 0.848s
loss: 1.5015 corr: 82 (16512/2257759) completed in 0m 0.808s
loss: 1.5521 corr: 74 (16640/2257759) completed in 0m 0.910s
loss: 1.3664 corr: 77 (16768/2257759) completed in 0m 0.866s
loss: 1.5351 corr: 81 (16896/2257759) completed in 0m 0.819s
loss: 1.2711 corr: 83 (17024/2257759) completed in 0m 0.856s
loss: 1.4378 corr: 80 (17152/2257759) completed in 0m 0.803s
loss: 1.6189 corr: 75 (17280/2257759) completed in 0m 0.864s
loss: 1.4315 corr: 83 (17408/2257759) completed in 0m 0.898s
loss: 1.1655 corr: 88 (17536/2257759) completed in 0m 0.829s
loss: 1.4755 corr: 81 (17664/2257759) completed in 0m 0.833s
loss: 1.4930 corr: 86 (17792/2257759) completed in 0m 0.871s
loss: 1.6279 corr: 79 (17920/2257759) completed in 0m 0.836s
loss: 1.2599 corr: 82 (18048/2257759) completed in 0m 0.819s
loss: 1.6316 corr: 81 (18176/2257759) completed in 0m 0.804s
loss: 1.5821 corr: 75 (18304/2257759) completed in 0m 0.845s
loss: 1.3301 corr: 77 (18432/2257759) completed in 0m 0.814s
loss: 1.4646 corr: 81 (18560/2257759) completed in 0m 0.824s
loss: 1.3887 corr: 81 (18688/2257759) completed in 0m 0.833s
loss: 1.4320 corr: 82 (18816/2257759) completed in 0m 0.833s
loss: 1.6001 corr: 73 (18944/2257759) completed in 0m 0.817s
loss: 1.4824 corr: 75 (19072/2257759) completed in 0m 0.834s
loss: 1.3413 corr: 85 (19200/2257759) completed in 0m 0.821s
loss: 1.8319 corr: 65 (19328/2257759) completed in 0m 0.841s
loss: 1.3797 corr: 84 (19456/2257759) completed in 0m 0.829s
loss: 1.2677 corr: 80 (19584/2257759) completed in 0m 0.858s
loss: 1.1761 corr: 91 (19712/2257759) completed in 0m 0.862s
loss: 1.2929 corr: 81 (19840/2257759) completed in 0m 0.817s
loss: 1.5851 corr: 85 (19968/2257759) completed in 0m 0.822s
loss: 1.8229 corr: 73 (20096/2257759) completed in 0m 0.946s
loss: 1.4094 corr: 79 (20224/2257759) completed in 0m 0.806s
loss: 1.5836 corr: 75 (20352/2257759) completed in 0m 0.844s
loss: 1.1889 corr: 86 (20480/2257759) completed in 0m 0.797s
loss: 1.5097 corr: 76 (20608/2257759) completed in 0m 0.823s
loss: 1.6170 corr: 75 (20736/2257759) completed in 0m 0.794s
loss: 1.7256 corr: 81 (20864/2257759) completed in 0m 0.803s
loss: 1.4030 corr: 87 (20992/2257759) completed in 0m 0.815s
loss: 1.3455 corr: 88 (21120/2257759) completed in 0m 0.847s
loss: 1.5485 corr: 85 (21248/2257759) completed in 0m 0.846s
loss: 1.2284 corr: 86 (21376/2257759) completed in 0m 0.828s
loss: 1.7317 corr: 74 (21504/2257759) completed in 0m 0.878s
loss: 1.3884 corr: 77 (21632/2257759) completed in 0m 0.830s
