loss: XXXXXXX corr: Y (ZZZZZZZZZZZ) completed in 0m 0s
Epoch 0/0
----------
loss: 1.3626 corr: 247 (384/2257759) completed in 0m 3.151s
loss: 1.4745 corr: 230 (768/2257759) completed in 0m 1.942s
loss: 1.2543 corr: 265 (1152/2257759) completed in 0m 1.709s
loss: 1.1591 corr: 266 (1536/2257759) completed in 0m 1.626s
loss: 1.2204 corr: 256 (1920/2257759) completed in 0m 1.626s
loss: 1.0761 corr: 269 (2304/2257759) completed in 0m 1.782s
loss: 1.0650 corr: 275 (2688/2257759) completed in 0m 1.604s
loss: 1.0612 corr: 278 (3072/2257759) completed in 0m 1.776s
loss: 1.2124 corr: 251 (3456/2257759) completed in 0m 1.817s
loss: 1.1036 corr: 260 (3840/2257759) completed in 0m 1.716s
loss: 1.0349 corr: 273 (4224/2257759) completed in 0m 1.682s
loss: 1.1333 corr: 265 (4608/2257759) completed in 0m 1.558s
loss: 1.1344 corr: 256 (4992/2257759) completed in 0m 1.547s
loss: 1.1350 corr: 267 (5376/2257759) completed in 0m 1.984s
loss: 1.1493 corr: 255 (5760/2257759) completed in 0m 1.622s
loss: 1.1999 corr: 261 (6144/2257759) completed in 0m 1.685s
loss: 1.0039 corr: 281 (6528/2257759) completed in 0m 1.674s
loss: 0.9623 corr: 276 (6912/2257759) completed in 0m 1.805s
loss: 0.9602 corr: 273 (7296/2257759) completed in 0m 1.594s
loss: 1.0534 corr: 258 (7680/2257759) completed in 0m 1.615s
loss: 1.0953 corr: 256 (8064/2257759) completed in 0m 1.705s
loss: 1.0804 corr: 275 (8448/2257759) completed in 0m 1.619s
loss: 1.0781 corr: 246 (8832/2257759) completed in 0m 1.905s
loss: 1.1746 corr: 257 (9216/2257759) completed in 0m 1.608s
loss: 1.2681 corr: 250 (9600/2257759) completed in 0m 1.655s
loss: 0.9945 corr: 281 (9984/2257759) completed in 0m 1.662s
loss: 1.1837 corr: 258 (10368/2257759) completed in 0m 1.779s
loss: 1.2337 corr: 262 (10752/2257759) completed in 0m 1.701s
loss: 1.1379 corr: 256 (11136/2257759) completed in 0m 1.793s
loss: 1.1471 corr: 277 (11520/2257759) completed in 0m 1.614s
loss: 1.2095 corr: 260 (11904/2257759) completed in 0m 1.695s
loss: 1.2255 corr: 246 (12288/2257759) completed in 0m 1.721s
loss: 1.2373 corr: 261 (12672/2257759) completed in 0m 1.681s
loss: 1.2557 corr: 259 (13056/2257759) completed in 0m 1.681s
loss: 1.2036 corr: 246 (13440/2257759) completed in 0m 1.681s
loss: 1.2316 corr: 248 (13824/2257759) completed in 0m 1.651s
loss: 1.4144 corr: 245 (14208/2257759) completed in 0m 1.676s
loss: 1.3411 corr: 251 (14592/2257759) completed in 0m 1.682s
loss: 1.1482 corr: 246 (14976/2257759) completed in 0m 1.672s
loss: 1.2837 corr: 255 (15360/2257759) completed in 0m 1.615s
loss: 1.1763 corr: 256 (15744/2257759) completed in 0m 1.676s
loss: 1.1639 corr: 264 (16128/2257759) completed in 0m 1.625s
loss: 1.1307 corr: 262 (16512/2257759) completed in 0m 1.659s
loss: 1.3583 corr: 245 (16896/2257759) completed in 0m 1.704s
loss: 1.1119 corr: 267 (17280/2257759) completed in 0m 1.752s
loss: 1.2914 corr: 250 (17664/2257759) completed in 0m 1.703s
loss: 1.2868 corr: 244 (18048/2257759) completed in 0m 1.629s
loss: 1.1728 corr: 247 (18432/2257759) completed in 0m 1.730s
loss: 1.3597 corr: 249 (18816/2257759) completed in 0m 1.836s
loss: 1.3745 corr: 240 (19200/2257759) completed in 0m 1.666s
loss: 1.2673 corr: 245 (19584/2257759) completed in 0m 1.662s
loss: 1.4134 corr: 240 (19968/2257759) completed in 0m 1.720s
loss: 1.1750 corr: 269 (20352/2257759) completed in 0m 1.713s
loss: 1.1873 corr: 251 (20736/2257759) completed in 0m 1.712s
loss: 1.1115 corr: 270 (21120/2257759) completed in 0m 1.634s
loss: 1.3263 corr: 245 (21504/2257759) completed in 0m 1.559s
loss: 1.1769 corr: 254 (21888/2257759) completed in 0m 1.630s
loss: 1.3153 corr: 264 (22272/2257759) completed in 0m 1.704s
loss: 1.2397 corr: 241 (22656/2257759) completed in 0m 1.658s
loss: 1.4378 corr: 242 (23040/2257759) completed in 0m 1.657s
loss: 1.2350 corr: 248 (23424/2257759) completed in 0m 1.715s
loss: 1.3558 corr: 245 (23808/2257759) completed in 0m 1.693s
loss: 1.1897 corr: 249 (24192/2257759) completed in 0m 1.682s
loss: 1.2713 corr: 245 (24576/2257759) completed in 0m 1.648s
loss: 1.2216 corr: 250 (24960/2257759) completed in 0m 1.568s
loss: 1.2074 corr: 243 (25344/2257759) completed in 0m 1.807s
loss: 1.3823 corr: 238 (25728/2257759) completed in 0m 1.651s
loss: 1.4137 corr: 241 (26112/2257759) completed in 0m 1.655s
loss: 1.0502 corr: 272 (26496/2257759) completed in 0m 1.688s
loss: 1.1805 corr: 254 (26880/2257759) completed in 0m 1.799s
loss: 1.2604 corr: 256 (27264/2257759) completed in 0m 1.675s
loss: 1.1484 corr: 261 (27648/2257759) completed in 0m 1.619s
loss: 1.2624 corr: 247 (28032/2257759) completed in 0m 1.676s
loss: 1.1994 corr: 257 (28416/2257759) completed in 0m 1.709s
loss: 1.2201 corr: 252 (28800/2257759) completed in 0m 1.776s
loss: 1.2071 corr: 259 (29184/2257759) completed in 0m 1.687s
loss: 1.4070 corr: 241 (29568/2257759) completed in 0m 1.642s
loss: 1.3897 corr: 239 (29952/2257759) completed in 0m 1.706s
loss: 1.3006 corr: 253 (30336/2257759) completed in 0m 1.688s
loss: 1.3057 corr: 256 (30720/2257759) completed in 0m 1.681s
loss: 1.1248 corr: 267 (31104/2257759) completed in 0m 1.626s
loss: 1.0970 corr: 280 (31488/2257759) completed in 0m 1.669s
loss: 1.3358 corr: 243 (31872/2257759) completed in 0m 1.751s
loss: 1.1812 corr: 260 (32256/2257759) completed in 0m 1.579s
loss: 1.2419 corr: 250 (32640/2257759) completed in 0m 1.592s
loss: 1.3730 corr: 243 (33024/2257759) completed in 0m 1.621s
loss: 1.2146 corr: 270 (33408/2257759) completed in 0m 1.674s
loss: 1.2442 corr: 265 (33792/2257759) completed in 0m 1.568s
loss: 1.2677 corr: 245 (34176/2257759) completed in 0m 1.767s
loss: 1.2159 corr: 257 (34560/2257759) completed in 0m 1.670s
loss: 1.2674 corr: 255 (34944/2257759) completed in 0m 1.698s
loss: 1.1527 corr: 256 (35328/2257759) completed in 0m 1.669s
loss: 1.3148 corr: 250 (35712/2257759) completed in 0m 1.661s
loss: 1.1879 corr: 256 (36096/2257759) completed in 0m 1.654s
loss: 1.3063 corr: 255 (36480/2257759) completed in 0m 1.639s
loss: 1.5429 corr: 229 (36864/2257759) completed in 0m 1.581s
loss: 1.3025 corr: 246 (37248/2257759) completed in 0m 1.637s
loss: 1.3182 corr: 252 (37632/2257759) completed in 0m 1.676s
loss: 1.4239 corr: 248 (38016/2257759) completed in 0m 1.640s
loss: 1.3775 corr: 245 (38400/2257759) completed in 0m 1.663s
loss: 1.3390 corr: 242 (38784/2257759) completed in 0m 1.729s
loss: 1.2699 corr: 245 (39168/2257759) completed in 0m 1.722s
loss: 1.3262 corr: 247 (39552/2257759) completed in 0m 1.605s
loss: 1.4338 corr: 230 (39936/2257759) completed in 0m 1.617s
loss: 1.1714 corr: 255 (40320/2257759) completed in 0m 1.649s
loss: 1.3486 corr: 240 (40704/2257759) completed in 0m 1.690s
loss: 1.2468 corr: 264 (41088/2257759) completed in 0m 1.650s
loss: 1.3089 corr: 247 (41472/2257759) completed in 0m 1.760s
loss: 1.2349 corr: 270 (41856/2257759) completed in 0m 1.657s
loss: 1.1323 corr: 267 (42240/2257759) completed in 0m 1.673s
loss: 1.4185 corr: 258 (42624/2257759) completed in 0m 1.583s
loss: 1.2266 corr: 258 (43008/2257759) completed in 0m 1.651s
loss: 1.4064 corr: 246 (43392/2257759) completed in 0m 1.644s
loss: 1.2287 corr: 259 (43776/2257759) completed in 0m 1.633s
loss: 1.2819 corr: 246 (44160/2257759) completed in 0m 1.663s
loss: 1.3617 corr: 249 (44544/2257759) completed in 0m 1.628s
loss: 1.3494 corr: 249 (44928/2257759) completed in 0m 1.581s
loss: 1.2871 corr: 238 (45312/2257759) completed in 0m 1.807s
loss: 1.3686 corr: 246 (45696/2257759) completed in 0m 1.670s
loss: 1.4616 corr: 252 (46080/2257759) completed in 0m 1.712s
loss: 1.3645 corr: 240 (46464/2257759) completed in 0m 1.645s
loss: 1.3712 corr: 245 (46848/2257759) completed in 0m 1.678s
loss: 1.3012 corr: 256 (47232/2257759) completed in 0m 1.658s
loss: 1.1581 corr: 283 (47616/2257759) completed in 0m 1.615s
loss: 1.3399 corr: 254 (48000/2257759) completed in 0m 1.646s
loss: 1.3185 corr: 246 (48384/2257759) completed in 0m 1.711s
loss: 1.2804 corr: 243 (48768/2257759) completed in 0m 1.802s
loss: 1.3524 corr: 241 (49152/2257759) completed in 0m 1.650s
loss: 1.3605 corr: 245 (49536/2257759) completed in 0m 1.712s
loss: 1.2977 corr: 252 (49920/2257759) completed in 0m 1.667s
loss: 1.2269 corr: 262 (50304/2257759) completed in 0m 1.663s
loss: 1.3616 corr: 248 (50688/2257759) completed in 0m 1.694s
loss: 1.3182 corr: 246 (51072/2257759) completed in 0m 1.707s
loss: 1.2432 corr: 255 (51456/2257759) completed in 0m 1.656s
loss: 1.3306 corr: 250 (51840/2257759) completed in 0m 1.660s
loss: 1.4539 corr: 231 (52224/2257759) completed in 0m 1.619s
loss: 1.2697 corr: 252 (52608/2257759) completed in 0m 1.680s
loss: 1.2363 corr: 258 (52992/2257759) completed in 0m 1.697s
loss: 1.3276 corr: 249 (53376/2257759) completed in 0m 1.653s
loss: 1.2517 corr: 255 (53760/2257759) completed in 0m 1.719s
loss: 1.3535 corr: 252 (54144/2257759) completed in 0m 1.577s
loss: 1.2538 corr: 251 (54528/2257759) completed in 0m 1.679s
loss: 1.5150 corr: 233 (54912/2257759) completed in 0m 1.676s
loss: 1.3111 corr: 254 (55296/2257759) completed in 0m 1.643s
loss: 1.5210 corr: 227 (55680/2257759) completed in 0m 1.631s
loss: 1.3119 corr: 256 (56064/2257759) completed in 0m 1.626s
loss: 1.2651 corr: 257 (56448/2257759) completed in 0m 1.624s
loss: 1.4241 corr: 249 (56832/2257759) completed in 0m 1.583s
loss: 1.4690 corr: 241 (57216/2257759) completed in 0m 1.678s
loss: 1.3345 corr: 249 (57600/2257759) completed in 0m 1.727s
loss: 1.4971 corr: 243 (57984/2257759) completed in 0m 1.679s
loss: 1.2733 corr: 260 (58368/2257759) completed in 0m 1.858s
loss: 1.2908 corr: 260 (58752/2257759) completed in 0m 1.809s
loss: 1.3553 corr: 241 (59136/2257759) completed in 0m 1.649s
loss: 1.1731 corr: 274 (59520/2257759) completed in 0m 1.649s
loss: 1.2686 corr: 239 (59904/2257759) completed in 0m 1.620s
loss: 1.3602 corr: 254 (60288/2257759) completed in 0m 1.700s
loss: 1.4153 corr: 240 (60672/2257759) completed in 0m 1.670s
loss: 1.3028 corr: 244 (61056/2257759) completed in 0m 1.666s
loss: 1.3003 corr: 248 (61440/2257759) completed in 0m 1.684s
loss: 1.2873 corr: 248 (61824/2257759) completed in 0m 1.706s
loss: 1.2514 corr: 261 (62208/2257759) completed in 0m 1.652s
loss: 1.5194 corr: 242 (62592/2257759) completed in 0m 1.674s
loss: 1.3850 corr: 247 (62976/2257759) completed in 0m 1.666s
loss: 1.3933 corr: 244 (63360/2257759) completed in 0m 1.707s
loss: 1.2389 corr: 258 (63744/2257759) completed in 0m 1.676s
loss: 1.2959 corr: 256 (64128/2257759) completed in 0m 1.711s
loss: 1.4485 corr: 252 (64512/2257759) completed in 0m 1.706s
loss: 1.4290 corr: 252 (64896/2257759) completed in 0m 1.655s
