loss: XXXXXXX corr: Y (ZZZZZZZZZZZ) completed in 0m 0s
Epoch 0/0
----------
loss: 11.2186 corr: 0 (128/2257759) completed in 0m 2.628s
loss: 11.3125 corr: 0 (256/2257759) completed in 0m 0.826s
loss: 11.1989 corr: 0 (384/2257759) completed in 0m 0.839s
loss: 11.3881 corr: 0 (512/2257759) completed in 0m 0.799s
loss: 11.6715 corr: 0 (640/2257759) completed in 0m 0.807s
loss: 12.0009 corr: 0 (768/2257759) completed in 0m 0.814s
loss: 12.1945 corr: 0 (896/2257759) completed in 0m 0.855s
loss: 12.6852 corr: 0 (1024/2257759) completed in 0m 0.844s
loss: 13.0322 corr: 0 (1152/2257759) completed in 0m 0.816s
loss: 13.0173 corr: 0 (1280/2257759) completed in 0m 0.858s
loss: 12.5378 corr: 0 (1408/2257759) completed in 0m 0.774s
loss: 12.9761 corr: 0 (1536/2257759) completed in 0m 0.838s
loss: 12.1359 corr: 0 (1664/2257759) completed in 0m 0.874s
loss: 12.3926 corr: 0 (1792/2257759) completed in 0m 0.898s
loss: 11.7596 corr: 0 (1920/2257759) completed in 0m 0.832s
loss: 11.9509 corr: 0 (2048/2257759) completed in 0m 0.837s
loss: 11.9505 corr: 0 (2176/2257759) completed in 0m 0.843s
loss: 11.7528 corr: 0 (2304/2257759) completed in 0m 0.806s
loss: 11.6780 corr: 0 (2432/2257759) completed in 0m 0.832s
loss: 11.7092 corr: 0 (2560/2257759) completed in 0m 0.821s
loss: 11.5823 corr: 0 (2688/2257759) completed in 0m 0.776s
loss: 11.7287 corr: 2 (2816/2257759) completed in 0m 0.810s
loss: 11.4780 corr: 0 (2944/2257759) completed in 0m 0.814s
loss: 11.4512 corr: 0 (3072/2257759) completed in 0m 0.812s
loss: 11.4814 corr: 0 (3200/2257759) completed in 0m 0.867s
loss: 11.2386 corr: 0 (3328/2257759) completed in 0m 0.824s
loss: 11.2407 corr: 0 (3456/2257759) completed in 0m 0.908s
loss: 11.1762 corr: 0 (3584/2257759) completed in 0m 0.921s
loss: 11.2177 corr: 0 (3712/2257759) completed in 0m 0.838s
loss: 11.3312 corr: 0 (3840/2257759) completed in 0m 0.854s
loss: 11.1918 corr: 1 (3968/2257759) completed in 0m 0.834s
loss: 11.0491 corr: 0 (4096/2257759) completed in 0m 0.860s
loss: 10.9530 corr: 0 (4224/2257759) completed in 0m 0.871s
loss: 11.1796 corr: 0 (4352/2257759) completed in 0m 0.824s
loss: 11.1111 corr: 0 (4480/2257759) completed in 0m 0.824s
loss: 10.8424 corr: 0 (4608/2257759) completed in 0m 0.823s
loss: 11.0639 corr: 0 (4736/2257759) completed in 0m 0.856s
loss: 11.0368 corr: 0 (4864/2257759) completed in 0m 0.840s
loss: 11.0274 corr: 0 (4992/2257759) completed in 0m 0.905s
loss: 11.0182 corr: 0 (5120/2257759) completed in 0m 0.872s
loss: 10.7529 corr: 0 (5248/2257759) completed in 0m 0.810s
loss: 11.0191 corr: 0 (5376/2257759) completed in 0m 0.828s
loss: 10.8973 corr: 0 (5504/2257759) completed in 0m 0.845s
loss: 10.9233 corr: 1 (5632/2257759) completed in 0m 0.831s
loss: 10.8418 corr: 0 (5760/2257759) completed in 0m 0.778s
loss: 10.9635 corr: 0 (5888/2257759) completed in 0m 0.890s
loss: 10.8758 corr: 1 (6016/2257759) completed in 0m 0.878s
loss: 10.9169 corr: 0 (6144/2257759) completed in 0m 0.802s
loss: 10.8704 corr: 0 (6272/2257759) completed in 0m 0.826s
loss: 10.9742 corr: 1 (6400/2257759) completed in 0m 0.822s
loss: 11.0188 corr: 0 (6528/2257759) completed in 0m 0.856s
loss: 11.0644 corr: 0 (6656/2257759) completed in 0m 0.853s
loss: 10.7390 corr: 0 (6784/2257759) completed in 0m 0.886s
loss: 10.8366 corr: 0 (6912/2257759) completed in 0m 0.842s
loss: 10.8831 corr: 0 (7040/2257759) completed in 0m 0.858s
loss: 10.9079 corr: 0 (7168/2257759) completed in 0m 0.821s
loss: 10.8229 corr: 0 (7296/2257759) completed in 0m 0.834s
loss: 10.9126 corr: 1 (7424/2257759) completed in 0m 0.861s
loss: 10.7767 corr: 0 (7552/2257759) completed in 0m 0.825s
loss: 11.0227 corr: 0 (7680/2257759) completed in 0m 0.869s
loss: 10.8370 corr: 0 (7808/2257759) completed in 0m 0.810s
loss: 10.7689 corr: 0 (7936/2257759) completed in 0m 0.833s
loss: 10.8656 corr: 0 (8064/2257759) completed in 0m 0.802s
loss: 10.7517 corr: 0 (8192/2257759) completed in 0m 0.838s
loss: 10.7069 corr: 0 (8320/2257759) completed in 0m 0.815s
loss: 10.9290 corr: 0 (8448/2257759) completed in 0m 0.869s
loss: 10.7490 corr: 0 (8576/2257759) completed in 0m 0.816s
loss: 10.8758 corr: 0 (8704/2257759) completed in 0m 0.837s
loss: 10.8714 corr: 0 (8832/2257759) completed in 0m 0.774s
loss: 10.8329 corr: 0 (8960/2257759) completed in 0m 0.811s
loss: 10.9138 corr: 0 (9088/2257759) completed in 0m 0.811s
loss: 10.8002 corr: 0 (9216/2257759) completed in 0m 0.786s
loss: 10.9112 corr: 0 (9344/2257759) completed in 0m 0.814s
loss: 10.7508 corr: 1 (9472/2257759) completed in 0m 0.864s
loss: 10.7321 corr: 1 (9600/2257759) completed in 0m 0.861s
loss: 10.6810 corr: 0 (9728/2257759) completed in 0m 0.843s
loss: 10.7759 corr: 0 (9856/2257759) completed in 0m 0.830s
loss: 10.6389 corr: 0 (9984/2257759) completed in 0m 0.806s
loss: 10.9325 corr: 0 (10112/2257759) completed in 0m 0.796s
loss: 10.7789 corr: 0 (10240/2257759) completed in 0m 0.892s
loss: 10.6719 corr: 1 (10368/2257759) completed in 0m 0.816s
loss: 10.7463 corr: 1 (10496/2257759) completed in 0m 0.866s
loss: 10.8592 corr: 1 (10624/2257759) completed in 0m 0.852s
loss: 10.7829 corr: 0 (10752/2257759) completed in 0m 0.821s
loss: 10.7327 corr: 1 (10880/2257759) completed in 0m 0.822s
loss: 10.7843 corr: 0 (11008/2257759) completed in 0m 0.828s
loss: 10.9593 corr: 0 (11136/2257759) completed in 0m 0.807s
loss: 10.8619 corr: 0 (11264/2257759) completed in 0m 0.777s
loss: 10.7545 corr: 0 (11392/2257759) completed in 0m 0.835s
loss: 10.7598 corr: 0 (11520/2257759) completed in 0m 0.826s
loss: 10.6711 corr: 0 (11648/2257759) completed in 0m 0.843s
loss: 10.8129 corr: 0 (11776/2257759) completed in 0m 0.850s
loss: 10.8038 corr: 0 (11904/2257759) completed in 0m 0.845s
loss: 10.8497 corr: 0 (12032/2257759) completed in 0m 0.831s
loss: 10.6918 corr: 0 (12160/2257759) completed in 0m 0.853s
loss: 10.7206 corr: 0 (12288/2257759) completed in 0m 0.844s
loss: 10.8176 corr: 0 (12416/2257759) completed in 0m 0.845s
loss: 10.5044 corr: 1 (12544/2257759) completed in 0m 0.821s
loss: 10.7246 corr: 0 (12672/2257759) completed in 0m 0.865s
loss: 10.6791 corr: 0 (12800/2257759) completed in 0m 0.918s
loss: 10.5663 corr: 1 (12928/2257759) completed in 0m 0.855s
loss: 10.6282 corr: 0 (13056/2257759) completed in 0m 0.851s
loss: 10.4291 corr: 0 (13184/2257759) completed in 0m 0.835s
loss: 10.7478 corr: 0 (13312/2257759) completed in 0m 0.790s
loss: 10.7649 corr: 1 (13440/2257759) completed in 0m 0.854s
loss: 10.8331 corr: 0 (13568/2257759) completed in 0m 0.847s
loss: 10.7225 corr: 0 (13696/2257759) completed in 0m 0.852s
loss: 10.7438 corr: 0 (13824/2257759) completed in 0m 0.811s
loss: 10.7358 corr: 0 (13952/2257759) completed in 0m 0.837s
loss: 10.9121 corr: 0 (14080/2257759) completed in 0m 0.882s
loss: 10.7874 corr: 1 (14208/2257759) completed in 0m 0.837s
loss: 10.6791 corr: 0 (14336/2257759) completed in 0m 0.817s
loss: 10.7273 corr: 0 (14464/2257759) completed in 0m 0.864s
loss: 10.7104 corr: 0 (14592/2257759) completed in 0m 0.825s
loss: 10.5913 corr: 0 (14720/2257759) completed in 0m 0.844s
loss: 10.8053 corr: 0 (14848/2257759) completed in 0m 0.884s
loss: 10.6766 corr: 0 (14976/2257759) completed in 0m 0.788s
loss: 10.6050 corr: 0 (15104/2257759) completed in 0m 0.822s
loss: 10.7558 corr: 0 (15232/2257759) completed in 0m 0.832s
loss: 10.5721 corr: 0 (15360/2257759) completed in 0m 0.893s
loss: 10.7862 corr: 0 (15488/2257759) completed in 0m 0.826s
loss: 10.7460 corr: 0 (15616/2257759) completed in 0m 0.826s
loss: 10.7135 corr: 0 (15744/2257759) completed in 0m 0.857s
loss: 10.6812 corr: 0 (15872/2257759) completed in 0m 0.810s
loss: 10.6094 corr: 0 (16000/2257759) completed in 0m 0.833s
loss: 10.7375 corr: 0 (16128/2257759) completed in 0m 0.775s
loss: 10.6268 corr: 1 (16256/2257759) completed in 0m 0.826s
loss: 10.6384 corr: 0 (16384/2257759) completed in 0m 0.809s
loss: 10.5736 corr: 0 (16512/2257759) completed in 0m 0.836s
loss: 10.7892 corr: 0 (16640/2257759) completed in 0m 0.802s
loss: 10.7356 corr: 1 (16768/2257759) completed in 0m 0.812s
loss: 10.7810 corr: 2 (16896/2257759) completed in 0m 0.848s
loss: 10.4982 corr: 0 (17024/2257759) completed in 0m 0.837s
loss: 10.6992 corr: 0 (17152/2257759) completed in 0m 0.845s
loss: 10.6494 corr: 0 (17280/2257759) completed in 0m 0.817s
loss: 10.4728 corr: 1 (17408/2257759) completed in 0m 0.819s
loss: 10.6757 corr: 0 (17536/2257759) completed in 0m 0.828s
loss: 10.9904 corr: 0 (17664/2257759) completed in 0m 0.782s
loss: 10.6416 corr: 0 (17792/2257759) completed in 0m 0.826s
loss: 10.8348 corr: 0 (17920/2257759) completed in 0m 0.902s
loss: 10.4856 corr: 0 (18048/2257759) completed in 0m 0.838s
loss: 10.6622 corr: 0 (18176/2257759) completed in 0m 0.819s
loss: 10.5476 corr: 1 (18304/2257759) completed in 0m 0.824s
loss: 10.6421 corr: 0 (18432/2257759) completed in 0m 0.842s
loss: 10.8802 corr: 0 (18560/2257759) completed in 0m 0.798s
loss: 10.6726 corr: 0 (18688/2257759) completed in 0m 0.937s
loss: 10.4522 corr: 0 (18816/2257759) completed in 0m 0.826s
loss: 10.6758 corr: 0 (18944/2257759) completed in 0m 0.867s
loss: 10.6274 corr: 0 (19072/2257759) completed in 0m 0.828s
loss: 10.4786 corr: 0 (19200/2257759) completed in 0m 0.827s
loss: 10.7603 corr: 0 (19328/2257759) completed in 0m 0.825s
loss: 10.5160 corr: 0 (19456/2257759) completed in 0m 0.864s
loss: 10.7711 corr: 0 (19584/2257759) completed in 0m 0.849s
loss: 10.5847 corr: 0 (19712/2257759) completed in 0m 0.800s
loss: 10.5515 corr: 0 (19840/2257759) completed in 0m 0.814s
loss: 10.6572 corr: 0 (19968/2257759) completed in 0m 0.846s
loss: 10.5524 corr: 0 (20096/2257759) completed in 0m 0.839s
loss: 10.4435 corr: 0 (20224/2257759) completed in 0m 0.840s
loss: 10.4103 corr: 0 (20352/2257759) completed in 0m 0.844s
loss: 10.5796 corr: 0 (20480/2257759) completed in 0m 0.816s
loss: 10.6344 corr: 0 (20608/2257759) completed in 0m 0.826s
loss: 10.7243 corr: 0 (20736/2257759) completed in 0m 0.853s
loss: 10.5934 corr: 0 (20864/2257759) completed in 0m 0.815s
loss: 10.6180 corr: 0 (20992/2257759) completed in 0m 0.857s
loss: 10.5905 corr: 0 (21120/2257759) completed in 0m 0.866s
loss: 10.4692 corr: 0 (21248/2257759) completed in 0m 0.964s
loss: 10.4009 corr: 0 (21376/2257759) completed in 0m 0.884s
loss: 10.5597 corr: 0 (21504/2257759) completed in 0m 0.853s
loss: 10.5135 corr: 0 (21632/2257759) completed in 0m 0.867s
