loss: XXXXXXX corr: Y (ZZZZZZZZZZZ) completed in 0m 0s
Epoch 0/0
----------
loss: 0.6857 corr: 102 (128/2257759) completed in 0m 2.343s
loss: 0.8782 corr: 100 (256/2257759) completed in 0m 0.797s
loss: 0.7619 corr: 106 (384/2257759) completed in 0m 0.747s
loss: 0.9441 corr: 96 (512/2257759) completed in 0m 0.729s
loss: 0.9867 corr: 90 (640/2257759) completed in 0m 0.741s
loss: 0.6520 corr: 107 (768/2257759) completed in 0m 0.753s
loss: 0.6890 corr: 102 (896/2257759) completed in 0m 0.699s
loss: 0.6271 corr: 103 (1024/2257759) completed in 0m 0.734s
loss: 0.8662 corr: 104 (1152/2257759) completed in 0m 0.781s
loss: 0.7941 corr: 99 (1280/2257759) completed in 0m 0.737s
loss: 0.9610 corr: 102 (1408/2257759) completed in 0m 0.813s
loss: 0.9290 corr: 93 (1536/2257759) completed in 0m 0.762s
loss: 0.7681 corr: 105 (1664/2257759) completed in 0m 0.766s
loss: 0.8765 corr: 97 (1792/2257759) completed in 0m 0.712s
loss: 1.0184 corr: 95 (1920/2257759) completed in 0m 0.728s
loss: 0.6576 corr: 102 (2048/2257759) completed in 0m 0.705s
loss: 0.7198 corr: 100 (2176/2257759) completed in 0m 0.759s
loss: 0.8318 corr: 105 (2304/2257759) completed in 0m 0.736s
loss: 0.8801 corr: 103 (2432/2257759) completed in 0m 0.788s
loss: 0.7810 corr: 102 (2560/2257759) completed in 0m 0.790s
loss: 0.9563 corr: 100 (2688/2257759) completed in 0m 0.772s
loss: 0.7388 corr: 102 (2816/2257759) completed in 0m 0.721s
loss: 0.8676 corr: 99 (2944/2257759) completed in 0m 0.730s
loss: 1.0072 corr: 97 (3072/2257759) completed in 0m 0.783s
loss: 0.5546 corr: 111 (3200/2257759) completed in 0m 0.741s
loss: 0.8076 corr: 99 (3328/2257759) completed in 0m 0.756s
loss: 1.0396 corr: 103 (3456/2257759) completed in 0m 0.783s
loss: 0.7796 corr: 103 (3584/2257759) completed in 0m 0.775s
loss: 0.8249 corr: 102 (3712/2257759) completed in 0m 0.722s
loss: 1.0594 corr: 95 (3840/2257759) completed in 0m 0.716s
loss: 0.7548 corr: 109 (3968/2257759) completed in 0m 0.737s
loss: 0.8957 corr: 95 (4096/2257759) completed in 0m 0.689s
loss: 0.9936 corr: 97 (4224/2257759) completed in 0m 0.770s
loss: 0.6848 corr: 102 (4352/2257759) completed in 0m 0.754s
loss: 0.7349 corr: 99 (4480/2257759) completed in 0m 0.727s
loss: 0.8232 corr: 102 (4608/2257759) completed in 0m 0.778s
loss: 0.8730 corr: 101 (4736/2257759) completed in 0m 0.697s
loss: 0.8242 corr: 104 (4864/2257759) completed in 0m 0.766s
loss: 0.9758 corr: 97 (4992/2257759) completed in 0m 0.765s
loss: 1.1349 corr: 90 (5120/2257759) completed in 0m 0.745s
loss: 0.7359 corr: 101 (5248/2257759) completed in 0m 0.765s
loss: 1.0621 corr: 92 (5376/2257759) completed in 0m 0.764s
loss: 1.0165 corr: 98 (5504/2257759) completed in 0m 0.819s
loss: 0.8020 corr: 104 (5632/2257759) completed in 0m 0.726s
loss: 0.8172 corr: 102 (5760/2257759) completed in 0m 0.776s
loss: 1.0062 corr: 100 (5888/2257759) completed in 0m 0.767s
loss: 0.7556 corr: 99 (6016/2257759) completed in 0m 0.734s
loss: 0.9563 corr: 94 (6144/2257759) completed in 0m 0.745s
loss: 1.0198 corr: 97 (6272/2257759) completed in 0m 0.748s
loss: 0.8014 corr: 97 (6400/2257759) completed in 0m 0.813s
loss: 0.8825 corr: 96 (6528/2257759) completed in 0m 0.792s
loss: 0.7254 corr: 102 (6656/2257759) completed in 0m 0.761s
loss: 1.0743 corr: 95 (6784/2257759) completed in 0m 0.783s
loss: 0.6410 corr: 108 (6912/2257759) completed in 0m 0.770s
loss: 0.8262 corr: 101 (7040/2257759) completed in 0m 0.763s
loss: 1.2147 corr: 93 (7168/2257759) completed in 0m 0.698s
loss: 0.8758 corr: 96 (7296/2257759) completed in 0m 0.771s
loss: 0.8233 corr: 101 (7424/2257759) completed in 0m 0.779s
loss: 0.6365 corr: 106 (7552/2257759) completed in 0m 0.736s
loss: 1.0600 corr: 102 (7680/2257759) completed in 0m 0.904s
loss: 0.8810 corr: 102 (7808/2257759) completed in 0m 0.727s
loss: 0.7654 corr: 100 (7936/2257759) completed in 0m 0.747s
loss: 0.9482 corr: 95 (8064/2257759) completed in 0m 0.757s
loss: 0.7822 corr: 98 (8192/2257759) completed in 0m 0.732s
loss: 0.8516 corr: 99 (8320/2257759) completed in 0m 0.773s
loss: 0.7521 corr: 100 (8448/2257759) completed in 0m 0.723s
loss: 0.7943 corr: 100 (8576/2257759) completed in 0m 0.759s
loss: 0.9176 corr: 97 (8704/2257759) completed in 0m 0.725s
loss: 0.6244 corr: 112 (8832/2257759) completed in 0m 0.737s
loss: 0.9255 corr: 89 (8960/2257759) completed in 0m 0.779s
loss: 1.0857 corr: 95 (9088/2257759) completed in 0m 0.740s
loss: 0.7019 corr: 106 (9216/2257759) completed in 0m 0.745s
loss: 0.8813 corr: 98 (9344/2257759) completed in 0m 0.784s
loss: 0.8611 corr: 98 (9472/2257759) completed in 0m 0.742s
loss: 0.9192 corr: 102 (9600/2257759) completed in 0m 0.784s
loss: 0.8261 corr: 100 (9728/2257759) completed in 0m 0.723s
loss: 0.9257 corr: 94 (9856/2257759) completed in 0m 0.743s
loss: 0.9129 corr: 97 (9984/2257759) completed in 0m 0.755s
loss: 1.1644 corr: 100 (10112/2257759) completed in 0m 0.742s
loss: 0.8635 corr: 105 (10240/2257759) completed in 0m 0.749s
loss: 1.1839 corr: 91 (10368/2257759) completed in 0m 0.760s
loss: 0.7817 corr: 107 (10496/2257759) completed in 0m 0.747s
loss: 0.8943 corr: 99 (10624/2257759) completed in 0m 0.884s
loss: 1.0270 corr: 95 (10752/2257759) completed in 0m 0.905s
loss: 0.9327 corr: 105 (10880/2257759) completed in 0m 0.788s
loss: 0.9948 corr: 96 (11008/2257759) completed in 0m 0.761s
loss: 0.6159 corr: 104 (11136/2257759) completed in 0m 0.750s
loss: 0.9333 corr: 92 (11264/2257759) completed in 0m 0.719s
loss: 0.8557 corr: 97 (11392/2257759) completed in 0m 0.783s
loss: 1.0327 corr: 94 (11520/2257759) completed in 0m 0.747s
loss: 0.9393 corr: 95 (11648/2257759) completed in 0m 0.798s
loss: 0.7398 corr: 104 (11776/2257759) completed in 0m 0.680s
loss: 0.9160 corr: 97 (11904/2257759) completed in 0m 0.711s
loss: 0.7275 corr: 106 (12032/2257759) completed in 0m 0.754s
loss: 0.8458 corr: 98 (12160/2257759) completed in 0m 0.737s
loss: 1.1188 corr: 90 (12288/2257759) completed in 0m 0.761s
loss: 0.7236 corr: 97 (12416/2257759) completed in 0m 0.755s
loss: 1.1709 corr: 85 (12544/2257759) completed in 0m 0.783s
loss: 0.9511 corr: 97 (12672/2257759) completed in 0m 0.808s
loss: 0.7636 corr: 102 (12800/2257759) completed in 0m 0.724s
loss: 0.8866 corr: 98 (12928/2257759) completed in 0m 0.783s
loss: 0.7022 corr: 104 (13056/2257759) completed in 0m 0.782s
loss: 0.6276 corr: 106 (13184/2257759) completed in 0m 0.764s
loss: 1.1315 corr: 95 (13312/2257759) completed in 0m 0.741s
loss: 0.7770 corr: 106 (13440/2257759) completed in 0m 0.723s
loss: 0.9428 corr: 100 (13568/2257759) completed in 0m 0.747s
loss: 1.0344 corr: 98 (13696/2257759) completed in 0m 0.733s
loss: 0.8319 corr: 96 (13824/2257759) completed in 0m 0.801s
loss: 0.7679 corr: 105 (13952/2257759) completed in 0m 0.745s
loss: 0.9645 corr: 103 (14080/2257759) completed in 0m 0.774s
loss: 1.1393 corr: 96 (14208/2257759) completed in 0m 0.795s
loss: 0.7985 corr: 100 (14336/2257759) completed in 0m 0.796s
loss: 0.7127 corr: 102 (14464/2257759) completed in 0m 0.758s
loss: 1.1180 corr: 96 (14592/2257759) completed in 0m 0.778s
loss: 0.8435 corr: 97 (14720/2257759) completed in 0m 0.763s
loss: 0.8522 corr: 93 (14848/2257759) completed in 0m 0.709s
loss: 1.0097 corr: 96 (14976/2257759) completed in 0m 0.824s
loss: 0.9752 corr: 96 (15104/2257759) completed in 0m 0.757s
loss: 0.7274 corr: 106 (15232/2257759) completed in 0m 0.802s
loss: 0.9806 corr: 97 (15360/2257759) completed in 0m 0.743s
loss: 0.9587 corr: 98 (15488/2257759) completed in 0m 0.743s
loss: 0.8198 corr: 103 (15616/2257759) completed in 0m 0.773s
loss: 0.9510 corr: 92 (15744/2257759) completed in 0m 0.756s
loss: 1.0211 corr: 93 (15872/2257759) completed in 0m 0.745s
loss: 0.8030 corr: 108 (16000/2257759) completed in 0m 0.768s
loss: 0.9357 corr: 98 (16128/2257759) completed in 0m 0.839s
loss: 0.7140 corr: 106 (16256/2257759) completed in 0m 0.762s
loss: 0.8347 corr: 99 (16384/2257759) completed in 0m 0.734s
loss: 0.6243 corr: 106 (16512/2257759) completed in 0m 0.725s
loss: 0.8869 corr: 98 (16640/2257759) completed in 0m 0.773s
loss: 0.9146 corr: 102 (16768/2257759) completed in 0m 0.783s
loss: 1.0623 corr: 96 (16896/2257759) completed in 0m 0.759s
loss: 0.7994 corr: 103 (17024/2257759) completed in 0m 0.773s
loss: 0.8472 corr: 98 (17152/2257759) completed in 0m 0.797s
loss: 0.8582 corr: 98 (17280/2257759) completed in 0m 0.754s
loss: 0.8313 corr: 101 (17408/2257759) completed in 0m 0.678s
loss: 1.2278 corr: 94 (17536/2257759) completed in 0m 0.757s
loss: 0.6305 corr: 102 (17664/2257759) completed in 0m 0.749s
loss: 0.8929 corr: 101 (17792/2257759) completed in 0m 0.721s
loss: 0.7960 corr: 100 (17920/2257759) completed in 0m 0.720s
loss: 0.7713 corr: 104 (18048/2257759) completed in 0m 0.731s
loss: 0.8097 corr: 95 (18176/2257759) completed in 0m 0.685s
loss: 0.9463 corr: 92 (18304/2257759) completed in 0m 0.729s
loss: 0.9134 corr: 100 (18432/2257759) completed in 0m 0.772s
loss: 0.7688 corr: 100 (18560/2257759) completed in 0m 0.711s
loss: 0.8719 corr: 99 (18688/2257759) completed in 0m 0.738s
loss: 0.8491 corr: 97 (18816/2257759) completed in 0m 0.780s
loss: 0.9100 corr: 97 (18944/2257759) completed in 0m 0.736s
loss: 0.8856 corr: 98 (19072/2257759) completed in 0m 0.743s
loss: 0.8056 corr: 101 (19200/2257759) completed in 0m 0.783s
loss: 0.8509 corr: 99 (19328/2257759) completed in 0m 0.764s
loss: 0.7660 corr: 104 (19456/2257759) completed in 0m 0.755s
loss: 0.7259 corr: 98 (19584/2257759) completed in 0m 0.746s
loss: 0.9911 corr: 94 (19712/2257759) completed in 0m 0.758s
loss: 0.8442 corr: 103 (19840/2257759) completed in 0m 0.733s
loss: 0.7528 corr: 108 (19968/2257759) completed in 0m 0.794s
loss: 0.8909 corr: 99 (20096/2257759) completed in 0m 0.756s
loss: 0.8680 corr: 98 (20224/2257759) completed in 0m 0.732s
loss: 0.8626 corr: 99 (20352/2257759) completed in 0m 0.719s
loss: 0.9652 corr: 101 (20480/2257759) completed in 0m 0.718s
loss: 0.7584 corr: 99 (20608/2257759) completed in 0m 0.744s
loss: 1.0522 corr: 95 (20736/2257759) completed in 0m 0.719s
loss: 1.1847 corr: 91 (20864/2257759) completed in 0m 0.729s
loss: 0.9695 corr: 97 (20992/2257759) completed in 0m 0.742s
loss: 0.8674 corr: 104 (21120/2257759) completed in 0m 0.752s
loss: 1.2896 corr: 94 (21248/2257759) completed in 0m 0.761s
loss: 0.9052 corr: 97 (21376/2257759) completed in 0m 0.706s
loss: 0.9247 corr: 99 (21504/2257759) completed in 0m 0.756s
loss: 0.9123 corr: 98 (21632/2257759) completed in 0m 0.733s
