loss: XXXXXXX corr: Y (ZZZZZZZZZZZ) completed in 0m 0s
Epoch 0/0
----------
loss: 11.1803 corr: 0 (512/2257759) completed in 0m 3s
loss: 11.1632 corr: 0 (1024/2257759) completed in 0m 2s
loss: 11.1847 corr: 0 (1536/2257759) completed in 0m 1s
loss: 11.1281 corr: 0 (2048/2257759) completed in 0m 1s
loss: 11.0953 corr: 1 (2560/2257759) completed in 0m 1s
loss: 11.0889 corr: 0 (3072/2257759) completed in 0m 1s
loss: 10.9997 corr: 0 (3584/2257759) completed in 0m 1s
loss: 11.0169 corr: 0 (4096/2257759) completed in 0m 1s
loss: 10.9685 corr: 1 (4608/2257759) completed in 0m 1s
loss: 10.9938 corr: 0 (5120/2257759) completed in 0m 1s
loss: 10.9968 corr: 0 (5632/2257759) completed in 0m 1s
loss: 10.9005 corr: 0 (6144/2257759) completed in 0m 1s
loss: 10.8992 corr: 0 (6656/2257759) completed in 0m 1s
loss: 10.8666 corr: 1 (7168/2257759) completed in 0m 1s
loss: 10.7929 corr: 0 (7680/2257759) completed in 0m 1s
loss: 10.8422 corr: 2 (8192/2257759) completed in 0m 1s
loss: 10.8662 corr: 1 (8704/2257759) completed in 0m 1s
loss: 10.8226 corr: 0 (9216/2257759) completed in 0m 1s
loss: 10.9372 corr: 0 (9728/2257759) completed in 0m 1s
loss: 10.7967 corr: 0 (10240/2257759) completed in 0m 1s
loss: 10.7423 corr: 1 (10752/2257759) completed in 0m 1s
loss: 10.7267 corr: 0 (11264/2257759) completed in 0m 1s
loss: 10.6392 corr: 1 (11776/2257759) completed in 0m 1s
loss: 10.7454 corr: 3 (12288/2257759) completed in 0m 2s
loss: 10.6392 corr: 1 (12800/2257759) completed in 0m 1s
loss: 10.6417 corr: 1 (13312/2257759) completed in 0m 1s
loss: 10.6703 corr: 0 (13824/2257759) completed in 0m 1s
loss: 10.5375 corr: 0 (14336/2257759) completed in 0m 1s
loss: 10.6105 corr: 0 (14848/2257759) completed in 0m 1s
loss: 10.6257 corr: 0 (15360/2257759) completed in 0m 1s
loss: 10.5728 corr: 1 (15872/2257759) completed in 0m 2s
loss: 10.5681 corr: 2 (16384/2257759) completed in 0m 1s
loss: 10.6019 corr: 1 (16896/2257759) completed in 0m 1s
loss: 10.6716 corr: 0 (17408/2257759) completed in 0m 1s
loss: 10.6460 corr: 1 (17920/2257759) completed in 0m 1s
loss: 10.5682 corr: 3 (18432/2257759) completed in 0m 1s
loss: 10.5974 corr: 0 (18944/2257759) completed in 0m 1s
loss: 10.5562 corr: 0 (19456/2257759) completed in 0m 1s
loss: 10.4749 corr: 2 (19968/2257759) completed in 0m 1s
loss: 10.5069 corr: 1 (20480/2257759) completed in 0m 1s
loss: 10.5476 corr: 1 (20992/2257759) completed in 0m 1s
loss: 10.4553 corr: 1 (21504/2257759) completed in 0m 1s
loss: 10.6302 corr: 3 (22016/2257759) completed in 0m 1s
loss: 10.5061 corr: 0 (22528/2257759) completed in 0m 1s
loss: 10.4648 corr: 1 (23040/2257759) completed in 0m 2s
loss: 10.5045 corr: 0 (23552/2257759) completed in 0m 1s
loss: 10.4144 corr: 3 (24064/2257759) completed in 0m 1s
loss: 10.3372 corr: 0 (24576/2257759) completed in 0m 1s
loss: 10.4365 corr: 1 (25088/2257759) completed in 0m 1s
loss: 10.5408 corr: 0 (25600/2257759) completed in 0m 1s
loss: 10.5102 corr: 1 (26112/2257759) completed in 0m 1s
loss: 10.4784 corr: 2 (26624/2257759) completed in 0m 1s
loss: 10.4217 corr: 1 (27136/2257759) completed in 0m 1s
loss: 10.3394 corr: 0 (27648/2257759) completed in 0m 1s
loss: 10.4601 corr: 1 (28160/2257759) completed in 0m 1s
loss: 10.5178 corr: 0 (28672/2257759) completed in 0m 1s
loss: 10.4483 corr: 1 (29184/2257759) completed in 0m 1s
loss: 10.4531 corr: 0 (29696/2257759) completed in 0m 1s
loss: 10.4248 corr: 2 (30208/2257759) completed in 0m 1s
loss: 10.4661 corr: 0 (30720/2257759) completed in 0m 1s
loss: 10.4886 corr: 1 (31232/2257759) completed in 0m 1s
loss: 10.4393 corr: 0 (31744/2257759) completed in 0m 1s
loss: 10.5119 corr: 0 (32256/2257759) completed in 0m 1s
loss: 10.3459 corr: 1 (32768/2257759) completed in 0m 1s
loss: 10.4516 corr: 0 (33280/2257759) completed in 0m 1s
loss: 10.4511 corr: 3 (33792/2257759) completed in 0m 1s
loss: 10.3968 corr: 0 (34304/2257759) completed in 0m 1s
loss: 10.4929 corr: 2 (34816/2257759) completed in 0m 1s
loss: 10.3875 corr: 0 (35328/2257759) completed in 0m 1s
loss: 10.4439 corr: 0 (35840/2257759) completed in 0m 1s
loss: 10.4370 corr: 1 (36352/2257759) completed in 0m 1s
loss: 10.3386 corr: 2 (36864/2257759) completed in 0m 1s
loss: 10.2601 corr: 3 (37376/2257759) completed in 0m 1s
loss: 10.4083 corr: 0 (37888/2257759) completed in 0m 1s
loss: 10.4244 corr: 2 (38400/2257759) completed in 0m 1s
loss: 10.2419 corr: 0 (38912/2257759) completed in 0m 1s
loss: 10.4776 corr: 0 (39424/2257759) completed in 0m 1s
loss: 10.3532 corr: 0 (39936/2257759) completed in 0m 1s
loss: 10.1822 corr: 0 (40448/2257759) completed in 0m 1s
loss: 10.2856 corr: 1 (40960/2257759) completed in 0m 1s
loss: 10.3166 corr: 0 (41472/2257759) completed in 0m 1s
loss: 10.4177 corr: 0 (41984/2257759) completed in 0m 2s
loss: 10.2073 corr: 1 (42496/2257759) completed in 0m 1s
loss: 10.2346 corr: 2 (43008/2257759) completed in 0m 1s
loss: 10.2998 corr: 1 (43520/2257759) completed in 0m 1s
loss: 10.3865 corr: 0 (44032/2257759) completed in 0m 1s
loss: 10.2759 corr: 3 (44544/2257759) completed in 0m 1s
loss: 10.3310 corr: 0 (45056/2257759) completed in 0m 1s
loss: 10.3625 corr: 0 (45568/2257759) completed in 0m 1s
loss: 10.2416 corr: 1 (46080/2257759) completed in 0m 1s
loss: 10.2622 corr: 0 (46592/2257759) completed in 0m 1s
loss: 10.3532 corr: 1 (47104/2257759) completed in 0m 1s
loss: 10.2335 corr: 0 (47616/2257759) completed in 0m 1s
loss: 10.1398 corr: 1 (48128/2257759) completed in 0m 1s
loss: 10.2753 corr: 0 (48640/2257759) completed in 0m 1s
loss: 10.2011 corr: 2 (49152/2257759) completed in 0m 1s
loss: 10.3443 corr: 1 (49664/2257759) completed in 0m 1s
loss: 10.2126 corr: 1 (50176/2257759) completed in 0m 1s
loss: 10.1708 corr: 1 (50688/2257759) completed in 0m 1s
loss: 10.2022 corr: 1 (51200/2257759) completed in 0m 1s
loss: 10.1385 corr: 3 (51712/2257759) completed in 0m 1s
loss: 10.1936 corr: 2 (52224/2257759) completed in 0m 1s
loss: 10.2675 corr: 1 (52736/2257759) completed in 0m 1s
loss: 10.0430 corr: 1 (53248/2257759) completed in 0m 1s
loss: 10.2663 corr: 1 (53760/2257759) completed in 0m 1s
loss: 10.3360 corr: 1 (54272/2257759) completed in 0m 1s
loss: 10.1791 corr: 0 (54784/2257759) completed in 0m 1s
loss: 10.2510 corr: 0 (55296/2257759) completed in 0m 1s
loss: 10.2194 corr: 1 (55808/2257759) completed in 0m 1s
loss: 10.1803 corr: 2 (56320/2257759) completed in 0m 1s
loss: 10.2636 corr: 1 (56832/2257759) completed in 0m 1s
loss: 10.1410 corr: 3 (57344/2257759) completed in 0m 1s
loss: 10.0657 corr: 3 (57856/2257759) completed in 0m 1s
loss: 10.2070 corr: 3 (58368/2257759) completed in 0m 1s
loss: 10.1787 corr: 1 (58880/2257759) completed in 0m 1s
loss: 10.1724 corr: 2 (59392/2257759) completed in 0m 1s
loss: 10.1688 corr: 1 (59904/2257759) completed in 0m 1s
loss: 10.1625 corr: 0 (60416/2257759) completed in 0m 1s
loss: 9.9793 corr: 1 (60928/2257759) completed in 0m 1s
loss: 10.1581 corr: 1 (61440/2257759) completed in 0m 2s
loss: 10.1402 corr: 1 (61952/2257759) completed in 0m 1s
loss: 10.1485 corr: 0 (62464/2257759) completed in 0m 1s
loss: 10.2606 corr: 1 (62976/2257759) completed in 0m 1s
loss: 10.0785 corr: 1 (63488/2257759) completed in 0m 1s
loss: 10.2255 corr: 0 (64000/2257759) completed in 0m 1s
loss: 10.1211 corr: 0 (64512/2257759) completed in 0m 1s
loss: 10.0715 corr: 3 (65024/2257759) completed in 0m 1s
loss: 10.0623 corr: 0 (65536/2257759) completed in 0m 1s
loss: 9.9951 corr: 2 (66048/2257759) completed in 0m 1s
loss: 10.0915 corr: 2 (66560/2257759) completed in 0m 2s
loss: 10.0902 corr: 1 (67072/2257759) completed in 0m 1s
loss: 10.2174 corr: 1 (67584/2257759) completed in 0m 1s
loss: 10.0561 corr: 2 (68096/2257759) completed in 0m 1s
loss: 10.1102 corr: 1 (68608/2257759) completed in 0m 2s
loss: 10.0662 corr: 4 (69120/2257759) completed in 0m 1s
loss: 10.2138 corr: 1 (69632/2257759) completed in 0m 1s
loss: 10.1116 corr: 3 (70144/2257759) completed in 0m 1s
loss: 9.9128 corr: 6 (70656/2257759) completed in 0m 1s
loss: 10.0064 corr: 1 (71168/2257759) completed in 0m 1s
loss: 9.9601 corr: 2 (71680/2257759) completed in 0m 1s
loss: 10.0421 corr: 2 (72192/2257759) completed in 0m 1s
loss: 9.9973 corr: 1 (72704/2257759) completed in 0m 1s
loss: 10.0792 corr: 0 (73216/2257759) completed in 0m 1s
loss: 10.1031 corr: 1 (73728/2257759) completed in 0m 1s
loss: 10.0215 corr: 5 (74240/2257759) completed in 0m 1s
loss: 9.9232 corr: 1 (74752/2257759) completed in 0m 1s
loss: 9.9498 corr: 3 (75264/2257759) completed in 0m 1s
loss: 10.0067 corr: 0 (75776/2257759) completed in 0m 1s
loss: 10.0282 corr: 2 (76288/2257759) completed in 0m 1s
loss: 10.0509 corr: 2 (76800/2257759) completed in 0m 1s
loss: 10.0114 corr: 3 (77312/2257759) completed in 0m 1s
loss: 9.9641 corr: 3 (77824/2257759) completed in 0m 1s
loss: 10.0122 corr: 1 (78336/2257759) completed in 0m 1s
loss: 9.9354 corr: 3 (78848/2257759) completed in 0m 1s
loss: 10.0216 corr: 0 (79360/2257759) completed in 0m 1s
loss: 10.1296 corr: 0 (79872/2257759) completed in 0m 1s
loss: 9.8505 corr: 3 (80384/2257759) completed in 0m 1s
loss: 10.0887 corr: 2 (80896/2257759) completed in 0m 1s
loss: 9.8661 corr: 3 (81408/2257759) completed in 0m 1s
loss: 10.0176 corr: 2 (81920/2257759) completed in 0m 2s
loss: 9.8601 corr: 4 (82432/2257759) completed in 0m 1s
loss: 9.8060 corr: 4 (82944/2257759) completed in 0m 1s
loss: 9.9833 corr: 2 (83456/2257759) completed in 0m 1s
loss: 9.9077 corr: 3 (83968/2257759) completed in 0m 1s
loss: 10.0103 corr: 1 (84480/2257759) completed in 0m 1s
loss: 9.9942 corr: 2 (84992/2257759) completed in 0m 1s
loss: 10.1552 corr: 4 (85504/2257759) completed in 0m 1s
loss: 9.8928 corr: 2 (86016/2257759) completed in 0m 1s
loss: 9.8995 corr: 4 (86528/2257759) completed in 0m 1s
loss: 9.7766 corr: 4 (87040/2257759) completed in 0m 2s
loss: 9.9263 corr: 2 (87552/2257759) completed in 0m 1s
loss: 9.8002 corr: 5 (88064/2257759) completed in 0m 1s
loss: 9.8433 corr: 5 (88576/2257759) completed in 0m 1s
loss: 9.8584 corr: 0 (89088/2257759) completed in 0m 1s
loss: 9.7943 corr: 5 (89600/2257759) completed in 0m 1s
loss: 9.8475 corr: 4 (90112/2257759) completed in 0m 1s
loss: 9.9456 corr: 3 (90624/2257759) completed in 0m 1s
loss: 9.9214 corr: 1 (91136/2257759) completed in 0m 1s
loss: 9.9289 corr: 1 (91648/2257759) completed in 0m 1s
