loss: XXXXXXX corr: Y (ZZZZZZZZZZZ) completed in 0m 0s
Epoch 0/0
----------
loss: 3.4961 corr: 43 (128/2257759) completed in 0m 2.301s
loss: 3.3087 corr: 50 (256/2257759) completed in 0m 0.783s
loss: 3.8308 corr: 46 (384/2257759) completed in 0m 0.733s
loss: 4.0132 corr: 44 (512/2257759) completed in 0m 0.677s
loss: 3.8152 corr: 50 (640/2257759) completed in 0m 0.700s
loss: 4.1184 corr: 46 (768/2257759) completed in 0m 0.723s
loss: 3.2984 corr: 46 (896/2257759) completed in 0m 0.715s
loss: 3.2296 corr: 40 (1024/2257759) completed in 0m 0.712s
loss: 4.2922 corr: 39 (1152/2257759) completed in 0m 0.760s
loss: 3.7791 corr: 45 (1280/2257759) completed in 0m 0.817s
loss: 3.6079 corr: 47 (1408/2257759) completed in 0m 0.783s
loss: 3.8621 corr: 44 (1536/2257759) completed in 0m 0.701s
loss: 3.6201 corr: 48 (1664/2257759) completed in 0m 0.734s
loss: 4.2734 corr: 36 (1792/2257759) completed in 0m 0.743s
loss: 4.0045 corr: 49 (1920/2257759) completed in 0m 0.725s
loss: 3.9786 corr: 38 (2048/2257759) completed in 0m 0.726s
loss: 4.1216 corr: 36 (2176/2257759) completed in 0m 0.750s
loss: 3.2982 corr: 52 (2304/2257759) completed in 0m 0.728s
loss: 3.8895 corr: 38 (2432/2257759) completed in 0m 0.788s
loss: 3.6184 corr: 54 (2560/2257759) completed in 0m 0.748s
loss: 4.1954 corr: 45 (2688/2257759) completed in 0m 0.740s
loss: 4.1523 corr: 43 (2816/2257759) completed in 0m 0.800s
loss: 3.6497 corr: 45 (2944/2257759) completed in 0m 0.761s
loss: 3.8622 corr: 42 (3072/2257759) completed in 0m 0.747s
loss: 4.3782 corr: 41 (3200/2257759) completed in 0m 0.703s
loss: 3.9018 corr: 48 (3328/2257759) completed in 0m 0.745s
loss: 4.4024 corr: 40 (3456/2257759) completed in 0m 0.742s
loss: 3.4640 corr: 48 (3584/2257759) completed in 0m 0.793s
loss: 3.4586 corr: 39 (3712/2257759) completed in 0m 0.733s
loss: 3.8747 corr: 44 (3840/2257759) completed in 0m 0.729s
loss: 3.7618 corr: 48 (3968/2257759) completed in 0m 0.738s
loss: 3.6109 corr: 37 (4096/2257759) completed in 0m 0.723s
loss: 3.7322 corr: 45 (4224/2257759) completed in 0m 0.735s
loss: 3.9877 corr: 42 (4352/2257759) completed in 0m 0.723s
loss: 3.9069 corr: 47 (4480/2257759) completed in 0m 0.744s
loss: 3.5219 corr: 39 (4608/2257759) completed in 0m 0.723s
loss: 3.6490 corr: 41 (4736/2257759) completed in 0m 0.738s
loss: 3.1486 corr: 57 (4864/2257759) completed in 0m 0.748s
loss: 3.4796 corr: 52 (4992/2257759) completed in 0m 0.732s
loss: 3.9110 corr: 45 (5120/2257759) completed in 0m 0.716s
loss: 4.3317 corr: 33 (5248/2257759) completed in 0m 0.748s
loss: 4.0487 corr: 36 (5376/2257759) completed in 0m 0.739s
loss: 3.8467 corr: 52 (5504/2257759) completed in 0m 0.705s
loss: 3.3854 corr: 44 (5632/2257759) completed in 0m 0.722s
loss: 4.1005 corr: 41 (5760/2257759) completed in 0m 0.710s
loss: 3.5027 corr: 45 (5888/2257759) completed in 0m 0.703s
loss: 3.8252 corr: 40 (6016/2257759) completed in 0m 0.684s
loss: 3.5198 corr: 53 (6144/2257759) completed in 0m 0.733s
loss: 4.4017 corr: 38 (6272/2257759) completed in 0m 0.722s
loss: 3.8639 corr: 45 (6400/2257759) completed in 0m 0.683s
loss: 3.6207 corr: 44 (6528/2257759) completed in 0m 0.742s
loss: 4.2711 corr: 42 (6656/2257759) completed in 0m 0.682s
loss: 4.0123 corr: 41 (6784/2257759) completed in 0m 0.738s
loss: 3.7814 corr: 40 (6912/2257759) completed in 0m 0.714s
loss: 3.5996 corr: 44 (7040/2257759) completed in 0m 0.714s
loss: 4.6412 corr: 37 (7168/2257759) completed in 0m 0.716s
loss: 3.4850 corr: 52 (7296/2257759) completed in 0m 0.735s
loss: 3.6103 corr: 50 (7424/2257759) completed in 0m 0.745s
loss: 3.5032 corr: 36 (7552/2257759) completed in 0m 0.720s
loss: 3.5728 corr: 46 (7680/2257759) completed in 0m 0.717s
loss: 4.2364 corr: 39 (7808/2257759) completed in 0m 0.787s
loss: 3.5474 corr: 42 (7936/2257759) completed in 0m 0.683s
loss: 3.8181 corr: 46 (8064/2257759) completed in 0m 0.713s
loss: 3.8192 corr: 34 (8192/2257759) completed in 0m 0.735s
loss: 3.5851 corr: 42 (8320/2257759) completed in 0m 0.727s
loss: 4.1612 corr: 41 (8448/2257759) completed in 0m 0.704s
loss: 3.6121 corr: 50 (8576/2257759) completed in 0m 0.720s
loss: 4.1223 corr: 43 (8704/2257759) completed in 0m 0.726s
loss: 3.7830 corr: 41 (8832/2257759) completed in 0m 0.735s
loss: 3.7509 corr: 46 (8960/2257759) completed in 0m 0.758s
loss: 3.9051 corr: 38 (9088/2257759) completed in 0m 0.731s
loss: 4.0596 corr: 39 (9216/2257759) completed in 0m 0.711s
loss: 3.8313 corr: 42 (9344/2257759) completed in 0m 0.751s
loss: 3.5551 corr: 45 (9472/2257759) completed in 0m 0.707s
loss: 3.8423 corr: 45 (9600/2257759) completed in 0m 0.696s
loss: 3.6947 corr: 44 (9728/2257759) completed in 0m 0.739s
loss: 4.0194 corr: 45 (9856/2257759) completed in 0m 0.753s
loss: 3.6010 corr: 45 (9984/2257759) completed in 0m 0.827s
loss: 4.1889 corr: 36 (10112/2257759) completed in 0m 0.750s
loss: 4.0201 corr: 48 (10240/2257759) completed in 0m 0.690s
loss: 3.6952 corr: 38 (10368/2257759) completed in 0m 0.721s
loss: 4.0397 corr: 41 (10496/2257759) completed in 0m 0.759s
loss: 4.1158 corr: 46 (10624/2257759) completed in 0m 0.736s
loss: 4.0863 corr: 41 (10752/2257759) completed in 0m 0.742s
loss: 3.4271 corr: 40 (10880/2257759) completed in 0m 0.740s
loss: 3.4420 corr: 55 (11008/2257759) completed in 0m 0.722s
loss: 4.6558 corr: 45 (11136/2257759) completed in 0m 0.814s
loss: 3.7705 corr: 43 (11264/2257759) completed in 0m 0.780s
loss: 3.9029 corr: 44 (11392/2257759) completed in 0m 0.725s
loss: 3.9426 corr: 36 (11520/2257759) completed in 0m 0.707s
loss: 4.0767 corr: 43 (11648/2257759) completed in 0m 0.710s
loss: 4.0676 corr: 40 (11776/2257759) completed in 0m 0.743s
loss: 3.5248 corr: 43 (11904/2257759) completed in 0m 0.721s
loss: 4.7129 corr: 37 (12032/2257759) completed in 0m 0.727s
loss: 3.4084 corr: 48 (12160/2257759) completed in 0m 0.773s
loss: 3.5537 corr: 47 (12288/2257759) completed in 0m 0.752s
loss: 4.0530 corr: 36 (12416/2257759) completed in 0m 0.736s
loss: 3.4818 corr: 45 (12544/2257759) completed in 0m 0.689s
loss: 3.7886 corr: 50 (12672/2257759) completed in 0m 0.776s
loss: 3.9914 corr: 49 (12800/2257759) completed in 0m 0.739s
loss: 3.7040 corr: 47 (12928/2257759) completed in 0m 0.733s
loss: 4.0292 corr: 46 (13056/2257759) completed in 0m 0.719s
loss: 3.9947 corr: 51 (13184/2257759) completed in 0m 0.740s
loss: 3.5459 corr: 49 (13312/2257759) completed in 0m 0.721s
loss: 4.0484 corr: 43 (13440/2257759) completed in 0m 0.757s
loss: 3.4858 corr: 44 (13568/2257759) completed in 0m 0.713s
loss: 4.2998 corr: 37 (13696/2257759) completed in 0m 0.711s
loss: 3.6047 corr: 47 (13824/2257759) completed in 0m 0.717s
loss: 4.2164 corr: 36 (13952/2257759) completed in 0m 0.690s
loss: 3.5693 corr: 42 (14080/2257759) completed in 0m 0.672s
loss: 3.9431 corr: 43 (14208/2257759) completed in 0m 0.711s
loss: 4.2353 corr: 36 (14336/2257759) completed in 0m 0.678s
loss: 4.1580 corr: 43 (14464/2257759) completed in 0m 0.695s
loss: 3.8491 corr: 40 (14592/2257759) completed in 0m 0.710s
loss: 3.5077 corr: 46 (14720/2257759) completed in 0m 0.700s
loss: 3.5483 corr: 43 (14848/2257759) completed in 0m 0.672s
loss: 3.9293 corr: 36 (14976/2257759) completed in 0m 0.690s
loss: 3.8692 corr: 45 (15104/2257759) completed in 0m 0.668s
loss: 3.8921 corr: 43 (15232/2257759) completed in 0m 0.673s
loss: 3.6483 corr: 44 (15360/2257759) completed in 0m 0.682s
loss: 3.5417 corr: 49 (15488/2257759) completed in 0m 0.722s
loss: 4.2253 corr: 49 (15616/2257759) completed in 0m 0.666s
loss: 3.8312 corr: 46 (15744/2257759) completed in 0m 0.674s
loss: 3.9188 corr: 41 (15872/2257759) completed in 0m 0.719s
loss: 3.3678 corr: 58 (16000/2257759) completed in 0m 0.717s
loss: 3.3563 corr: 50 (16128/2257759) completed in 0m 0.757s
loss: 4.1729 corr: 45 (16256/2257759) completed in 0m 0.726s
loss: 3.6101 corr: 46 (16384/2257759) completed in 0m 0.711s
loss: 3.3124 corr: 48 (16512/2257759) completed in 0m 0.718s
loss: 4.0515 corr: 40 (16640/2257759) completed in 0m 0.741s
loss: 3.4518 corr: 52 (16768/2257759) completed in 0m 0.751s
loss: 4.0328 corr: 40 (16896/2257759) completed in 0m 0.716s
loss: 4.0850 corr: 38 (17024/2257759) completed in 0m 0.738s
loss: 3.7061 corr: 46 (17152/2257759) completed in 0m 0.765s
loss: 3.7439 corr: 40 (17280/2257759) completed in 0m 0.713s
loss: 3.7294 corr: 44 (17408/2257759) completed in 0m 0.726s
loss: 4.0075 corr: 42 (17536/2257759) completed in 0m 0.751s
loss: 3.6336 corr: 49 (17664/2257759) completed in 0m 0.707s
loss: 3.4104 corr: 48 (17792/2257759) completed in 0m 0.713s
loss: 4.5350 corr: 38 (17920/2257759) completed in 0m 0.806s
loss: 3.3697 corr: 55 (18048/2257759) completed in 0m 0.743s
loss: 4.1876 corr: 44 (18176/2257759) completed in 0m 0.686s
loss: 4.1271 corr: 38 (18304/2257759) completed in 0m 0.679s
loss: 3.5279 corr: 52 (18432/2257759) completed in 0m 0.732s
loss: 3.4857 corr: 47 (18560/2257759) completed in 0m 0.725s
loss: 3.8308 corr: 46 (18688/2257759) completed in 0m 0.711s
loss: 3.4357 corr: 52 (18816/2257759) completed in 0m 0.748s
loss: 3.7557 corr: 47 (18944/2257759) completed in 0m 0.715s
loss: 3.6180 corr: 35 (19072/2257759) completed in 0m 0.676s
loss: 3.9625 corr: 47 (19200/2257759) completed in 0m 0.677s
loss: 4.5152 corr: 30 (19328/2257759) completed in 0m 0.719s
loss: 3.5392 corr: 47 (19456/2257759) completed in 0m 0.691s
loss: 3.9387 corr: 44 (19584/2257759) completed in 0m 0.734s
loss: 3.8550 corr: 44 (19712/2257759) completed in 0m 0.770s
loss: 3.9528 corr: 38 (19840/2257759) completed in 0m 0.740s
loss: 3.7663 corr: 44 (19968/2257759) completed in 0m 0.689s
loss: 3.2217 corr: 60 (20096/2257759) completed in 0m 0.734s
loss: 3.7414 corr: 46 (20224/2257759) completed in 0m 0.709s
loss: 3.6421 corr: 48 (20352/2257759) completed in 0m 0.716s
loss: 3.8574 corr: 38 (20480/2257759) completed in 0m 0.753s
loss: 3.7329 corr: 49 (20608/2257759) completed in 0m 0.769s
loss: 3.9425 corr: 45 (20736/2257759) completed in 0m 0.693s
loss: 4.1330 corr: 38 (20864/2257759) completed in 0m 0.775s
loss: 4.0361 corr: 43 (20992/2257759) completed in 0m 0.728s
loss: 3.8855 corr: 42 (21120/2257759) completed in 0m 0.728s
loss: 4.4221 corr: 38 (21248/2257759) completed in 0m 0.678s
loss: 3.9395 corr: 44 (21376/2257759) completed in 0m 0.667s
loss: 3.6350 corr: 42 (21504/2257759) completed in 0m 0.688s
loss: 4.4271 corr: 37 (21632/2257759) completed in 0m 0.740s
