loss: XXXXXXX corr: Y (ZZZZZZZZZZZ) completed in 0m 0s
Epoch 0/0
----------
loss: 0.9618 corr: 365 (512/2257759) completed in 0m 2.684s
loss: 0.9188 corr: 367 (1024/2257759) completed in 0m 1.677s
loss: 1.0919 corr: 351 (1536/2257759) completed in 0m 1.388s
loss: 0.9862 corr: 375 (2048/2257759) completed in 0m 1.333s
loss: 0.9648 corr: 376 (2560/2257759) completed in 0m 1.410s
loss: 0.9379 corr: 379 (3072/2257759) completed in 0m 1.348s
loss: 0.9266 corr: 380 (3584/2257759) completed in 0m 1.292s
loss: 1.0128 corr: 365 (4096/2257759) completed in 0m 1.259s
loss: 0.9537 corr: 372 (4608/2257759) completed in 0m 1.442s
loss: 0.9876 corr: 356 (5120/2257759) completed in 0m 1.403s
loss: 0.8858 corr: 375 (5632/2257759) completed in 0m 1.306s
loss: 0.9109 corr: 372 (6144/2257759) completed in 0m 1.382s
loss: 0.8830 corr: 383 (6656/2257759) completed in 0m 1.460s
loss: 0.8223 corr: 385 (7168/2257759) completed in 0m 1.262s
loss: 0.8985 corr: 362 (7680/2257759) completed in 0m 1.337s
loss: 0.8341 corr: 395 (8192/2257759) completed in 0m 1.290s
loss: 0.8695 corr: 379 (8704/2257759) completed in 0m 1.346s
loss: 0.9133 corr: 372 (9216/2257759) completed in 0m 1.347s
loss: 1.0048 corr: 382 (9728/2257759) completed in 0m 1.441s
loss: 0.8695 corr: 390 (10240/2257759) completed in 0m 1.429s
loss: 0.8556 corr: 388 (10752/2257759) completed in 0m 1.590s
loss: 0.8323 corr: 386 (11264/2257759) completed in 0m 1.314s
loss: 0.8696 corr: 375 (11776/2257759) completed in 0m 1.357s
loss: 0.7985 corr: 385 (12288/2257759) completed in 0m 1.395s
loss: 0.8045 corr: 392 (12800/2257759) completed in 0m 1.390s
loss: 0.9037 corr: 369 (13312/2257759) completed in 0m 1.417s
loss: 0.8360 corr: 385 (13824/2257759) completed in 0m 1.323s
loss: 0.8015 corr: 381 (14336/2257759) completed in 0m 1.369s
loss: 0.8105 corr: 374 (14848/2257759) completed in 0m 1.387s
loss: 0.8188 corr: 386 (15360/2257759) completed in 0m 1.460s
loss: 0.7786 corr: 399 (15872/2257759) completed in 0m 1.333s
loss: 0.8861 corr: 379 (16384/2257759) completed in 0m 1.330s
loss: 0.9697 corr: 375 (16896/2257759) completed in 0m 1.459s
loss: 0.9146 corr: 372 (17408/2257759) completed in 0m 1.334s
loss: 0.8853 corr: 382 (17920/2257759) completed in 0m 1.387s
loss: 0.6966 corr: 405 (18432/2257759) completed in 0m 1.500s
loss: 0.8832 corr: 380 (18944/2257759) completed in 0m 1.328s
loss: 1.0024 corr: 363 (19456/2257759) completed in 0m 1.315s
loss: 0.7627 corr: 383 (19968/2257759) completed in 0m 1.424s
loss: 0.9373 corr: 364 (20480/2257759) completed in 0m 1.432s
loss: 1.0067 corr: 366 (20992/2257759) completed in 0m 1.283s
loss: 0.9936 corr: 364 (21504/2257759) completed in 0m 1.653s
loss: 0.9259 corr: 378 (22016/2257759) completed in 0m 1.344s
loss: 0.8586 corr: 376 (22528/2257759) completed in 0m 1.360s
loss: 0.8517 corr: 391 (23040/2257759) completed in 0m 1.424s
loss: 0.9525 corr: 369 (23552/2257759) completed in 0m 1.415s
loss: 0.7402 corr: 399 (24064/2257759) completed in 0m 1.300s
loss: 0.8543 corr: 386 (24576/2257759) completed in 0m 1.360s
loss: 0.8461 corr: 383 (25088/2257759) completed in 0m 1.370s
loss: 0.8425 corr: 379 (25600/2257759) completed in 0m 1.199s
loss: 0.9559 corr: 390 (26112/2257759) completed in 0m 1.287s
loss: 0.9113 corr: 375 (26624/2257759) completed in 0m 1.314s
loss: 0.8266 corr: 390 (27136/2257759) completed in 0m 1.315s
loss: 0.7547 corr: 389 (27648/2257759) completed in 0m 1.484s
loss: 0.8480 corr: 387 (28160/2257759) completed in 0m 1.383s
loss: 0.8101 corr: 391 (28672/2257759) completed in 0m 1.394s
loss: 0.7756 corr: 398 (29184/2257759) completed in 0m 1.481s
loss: 0.9249 corr: 383 (29696/2257759) completed in 0m 1.363s
loss: 0.8481 corr: 383 (30208/2257759) completed in 0m 1.387s
loss: 0.8468 corr: 386 (30720/2257759) completed in 0m 1.354s
loss: 0.9188 corr: 388 (31232/2257759) completed in 0m 1.195s
loss: 0.8559 corr: 382 (31744/2257759) completed in 0m 1.295s
loss: 0.8444 corr: 371 (32256/2257759) completed in 0m 1.480s
loss: 0.8728 corr: 387 (32768/2257759) completed in 0m 1.295s
loss: 0.8774 corr: 382 (33280/2257759) completed in 0m 1.213s
loss: 0.8741 corr: 391 (33792/2257759) completed in 0m 1.268s
loss: 0.9412 corr: 378 (34304/2257759) completed in 0m 1.332s
loss: 0.8274 corr: 391 (34816/2257759) completed in 0m 1.325s
loss: 0.9250 corr: 387 (35328/2257759) completed in 0m 1.331s
loss: 0.9038 corr: 380 (35840/2257759) completed in 0m 1.364s
loss: 0.7544 corr: 393 (36352/2257759) completed in 0m 1.368s
loss: 0.9135 corr: 365 (36864/2257759) completed in 0m 1.364s
loss: 0.8338 corr: 390 (37376/2257759) completed in 0m 1.423s
loss: 0.8695 corr: 386 (37888/2257759) completed in 0m 1.448s
loss: 0.9336 corr: 378 (38400/2257759) completed in 0m 1.305s
loss: 0.8902 corr: 365 (38912/2257759) completed in 0m 1.321s
loss: 0.8013 corr: 393 (39424/2257759) completed in 0m 1.306s
loss: 0.7250 corr: 415 (39936/2257759) completed in 0m 1.255s
loss: 0.7521 corr: 385 (40448/2257759) completed in 0m 1.446s
loss: 0.8712 corr: 380 (40960/2257759) completed in 0m 1.330s
loss: 0.7953 corr: 396 (41472/2257759) completed in 0m 1.345s
loss: 0.8637 corr: 383 (41984/2257759) completed in 0m 1.398s
loss: 0.7925 corr: 393 (42496/2257759) completed in 0m 1.677s
loss: 0.8856 corr: 382 (43008/2257759) completed in 0m 1.427s
loss: 0.8112 corr: 388 (43520/2257759) completed in 0m 1.292s
loss: 1.0264 corr: 366 (44032/2257759) completed in 0m 1.437s
loss: 0.7526 corr: 404 (44544/2257759) completed in 0m 1.332s
loss: 0.8043 corr: 388 (45056/2257759) completed in 0m 1.371s
loss: 0.7980 corr: 391 (45568/2257759) completed in 0m 1.262s
loss: 0.7482 corr: 398 (46080/2257759) completed in 0m 1.293s
loss: 0.8942 corr: 392 (46592/2257759) completed in 0m 1.318s
loss: 0.8151 corr: 391 (47104/2257759) completed in 0m 1.338s
loss: 0.7973 corr: 404 (47616/2257759) completed in 0m 1.276s
loss: 0.8941 corr: 390 (48128/2257759) completed in 0m 1.333s
loss: 0.7970 corr: 400 (48640/2257759) completed in 0m 1.526s
loss: 0.8216 corr: 395 (49152/2257759) completed in 0m 1.368s
loss: 0.9115 corr: 379 (49664/2257759) completed in 0m 1.322s
loss: 0.7958 corr: 399 (50176/2257759) completed in 0m 1.351s
loss: 0.7283 corr: 399 (50688/2257759) completed in 0m 1.412s
loss: 0.7585 corr: 399 (51200/2257759) completed in 0m 1.308s
loss: 0.8705 corr: 396 (51712/2257759) completed in 0m 1.481s
loss: 0.8069 corr: 389 (52224/2257759) completed in 0m 1.357s
loss: 0.7733 corr: 399 (52736/2257759) completed in 0m 1.676s
loss: 0.8085 corr: 397 (53248/2257759) completed in 0m 1.300s
loss: 0.7467 corr: 397 (53760/2257759) completed in 0m 1.298s
loss: 0.7813 corr: 408 (54272/2257759) completed in 0m 1.394s
loss: 0.8564 corr: 383 (54784/2257759) completed in 0m 1.355s
loss: 0.8243 corr: 383 (55296/2257759) completed in 0m 1.359s
loss: 0.7590 corr: 405 (55808/2257759) completed in 0m 1.583s
loss: 0.9514 corr: 380 (56320/2257759) completed in 0m 1.414s
loss: 0.7714 corr: 400 (56832/2257759) completed in 0m 1.411s
loss: 0.7329 corr: 415 (57344/2257759) completed in 0m 1.326s
loss: 0.8095 corr: 395 (57856/2257759) completed in 0m 1.429s
loss: 0.8294 corr: 398 (58368/2257759) completed in 0m 1.283s
loss: 0.9832 corr: 376 (58880/2257759) completed in 0m 1.372s
loss: 0.7521 corr: 401 (59392/2257759) completed in 0m 1.364s
loss: 0.8217 corr: 395 (59904/2257759) completed in 0m 1.286s
loss: 0.9544 corr: 387 (60416/2257759) completed in 0m 1.366s
loss: 0.7350 corr: 411 (60928/2257759) completed in 0m 1.343s
loss: 0.7687 corr: 408 (61440/2257759) completed in 0m 1.265s
loss: 0.7469 corr: 394 (61952/2257759) completed in 0m 1.372s
loss: 0.8629 corr: 397 (62464/2257759) completed in 0m 1.354s
loss: 0.8056 corr: 382 (62976/2257759) completed in 0m 1.370s
loss: 0.8689 corr: 394 (63488/2257759) completed in 0m 1.775s
loss: 0.8532 corr: 394 (64000/2257759) completed in 0m 1.302s
loss: 0.8905 corr: 383 (64512/2257759) completed in 0m 1.417s
loss: 0.8111 corr: 400 (65024/2257759) completed in 0m 1.354s
loss: 0.8556 corr: 387 (65536/2257759) completed in 0m 1.476s
loss: 0.8164 corr: 388 (66048/2257759) completed in 0m 1.617s
loss: 0.8450 corr: 393 (66560/2257759) completed in 0m 1.288s
loss: 0.7872 corr: 394 (67072/2257759) completed in 0m 1.379s
loss: 0.9855 corr: 376 (67584/2257759) completed in 0m 1.357s
loss: 0.8833 corr: 389 (68096/2257759) completed in 0m 1.462s
loss: 0.8510 corr: 389 (68608/2257759) completed in 0m 1.267s
loss: 0.7973 corr: 394 (69120/2257759) completed in 0m 1.382s
loss: 0.8546 corr: 391 (69632/2257759) completed in 0m 1.346s
loss: 0.8986 corr: 373 (70144/2257759) completed in 0m 1.374s
loss: 0.8010 corr: 397 (70656/2257759) completed in 0m 1.287s
loss: 0.8662 corr: 388 (71168/2257759) completed in 0m 1.454s
loss: 0.8093 corr: 401 (71680/2257759) completed in 0m 1.362s
loss: 0.8299 corr: 403 (72192/2257759) completed in 0m 1.268s
loss: 0.9231 corr: 382 (72704/2257759) completed in 0m 1.343s
loss: 0.9197 corr: 394 (73216/2257759) completed in 0m 1.339s
loss: 0.8264 corr: 397 (73728/2257759) completed in 0m 1.426s
loss: 0.7358 corr: 405 (74240/2257759) completed in 0m 1.393s
loss: 0.8686 corr: 392 (74752/2257759) completed in 0m 1.426s
loss: 0.8361 corr: 399 (75264/2257759) completed in 0m 1.383s
loss: 0.7308 corr: 401 (75776/2257759) completed in 0m 1.359s
loss: 0.8501 corr: 394 (76288/2257759) completed in 0m 1.397s
loss: 0.9131 corr: 379 (76800/2257759) completed in 0m 1.573s
loss: 0.8666 corr: 399 (77312/2257759) completed in 0m 1.201s
loss: 0.8997 corr: 377 (77824/2257759) completed in 0m 1.365s
loss: 0.8066 corr: 394 (78336/2257759) completed in 0m 1.346s
loss: 0.8142 corr: 387 (78848/2257759) completed in 0m 1.416s
loss: 0.8648 corr: 385 (79360/2257759) completed in 0m 1.286s
loss: 0.7970 corr: 397 (79872/2257759) completed in 0m 1.365s
loss: 0.9175 corr: 386 (80384/2257759) completed in 0m 1.391s
loss: 0.9256 corr: 389 (80896/2257759) completed in 0m 1.430s
loss: 0.7036 corr: 412 (81408/2257759) completed in 0m 1.321s
loss: 0.8554 corr: 391 (81920/2257759) completed in 0m 1.299s
loss: 0.7694 corr: 397 (82432/2257759) completed in 0m 1.351s
loss: 0.7238 corr: 408 (82944/2257759) completed in 0m 1.452s
loss: 0.8077 corr: 391 (83456/2257759) completed in 0m 1.304s
loss: 0.7768 corr: 398 (83968/2257759) completed in 0m 1.329s
loss: 0.9249 corr: 379 (84480/2257759) completed in 0m 1.352s
loss: 0.8172 corr: 402 (84992/2257759) completed in 0m 1.335s
loss: 0.8723 corr: 392 (85504/2257759) completed in 0m 1.368s
loss: 0.8667 corr: 385 (86016/2257759) completed in 0m 1.320s
loss: 0.7162 corr: 406 (86528/2257759) completed in 0m 1.333s
