loss: XXXXXXX corr: Y (ZZZZZZZZZZZ) completed in 0m 0s
Epoch 0/0
----------
loss: 1.3362 corr: 77 (128/2257759) completed in 0m 2.580s
loss: 1.0797 corr: 86 (256/2257759) completed in 0m 1.007s
loss: 0.9909 corr: 93 (384/2257759) completed in 0m 0.959s
loss: 1.2844 corr: 83 (512/2257759) completed in 0m 0.841s
loss: 0.7837 corr: 92 (640/2257759) completed in 0m 0.826s
loss: 1.0557 corr: 96 (768/2257759) completed in 0m 0.834s
loss: 0.9178 corr: 97 (896/2257759) completed in 0m 0.812s
loss: 0.9037 corr: 94 (1024/2257759) completed in 0m 0.815s
loss: 0.8010 corr: 100 (1152/2257759) completed in 0m 0.824s
loss: 0.9060 corr: 93 (1280/2257759) completed in 0m 0.852s
loss: 0.9205 corr: 95 (1408/2257759) completed in 0m 0.852s
loss: 0.9610 corr: 98 (1536/2257759) completed in 0m 0.801s
loss: 0.7863 corr: 98 (1664/2257759) completed in 0m 0.766s
loss: 0.8692 corr: 95 (1792/2257759) completed in 0m 0.817s
loss: 0.8224 corr: 96 (1920/2257759) completed in 0m 0.812s
loss: 0.7725 corr: 103 (2048/2257759) completed in 0m 0.794s
loss: 0.9312 corr: 91 (2176/2257759) completed in 0m 0.858s
loss: 0.7687 corr: 94 (2304/2257759) completed in 0m 0.792s
loss: 0.6742 corr: 103 (2432/2257759) completed in 0m 0.848s
loss: 0.7619 corr: 103 (2560/2257759) completed in 0m 0.835s
loss: 0.8679 corr: 97 (2688/2257759) completed in 0m 0.806s
loss: 0.6548 corr: 106 (2816/2257759) completed in 0m 0.817s
loss: 0.6719 corr: 94 (2944/2257759) completed in 0m 0.837s
loss: 0.8123 corr: 99 (3072/2257759) completed in 0m 0.817s
loss: 0.6989 corr: 100 (3200/2257759) completed in 0m 0.852s
loss: 0.7979 corr: 102 (3328/2257759) completed in 0m 0.863s
loss: 0.6867 corr: 104 (3456/2257759) completed in 0m 0.806s
loss: 1.0163 corr: 90 (3584/2257759) completed in 0m 0.786s
loss: 0.6328 corr: 107 (3712/2257759) completed in 0m 0.809s
loss: 0.8727 corr: 96 (3840/2257759) completed in 0m 0.766s
loss: 0.8542 corr: 97 (3968/2257759) completed in 0m 0.839s
loss: 0.8334 corr: 97 (4096/2257759) completed in 0m 0.797s
loss: 0.6712 corr: 101 (4224/2257759) completed in 0m 0.840s
loss: 0.7183 corr: 96 (4352/2257759) completed in 0m 0.839s
loss: 0.7054 corr: 99 (4480/2257759) completed in 0m 0.812s
loss: 0.7129 corr: 101 (4608/2257759) completed in 0m 0.819s
loss: 0.6936 corr: 107 (4736/2257759) completed in 0m 0.820s
loss: 0.6374 corr: 102 (4864/2257759) completed in 0m 0.820s
loss: 0.9503 corr: 91 (4992/2257759) completed in 0m 0.829s
loss: 0.6233 corr: 100 (5120/2257759) completed in 0m 0.822s
loss: 0.6259 corr: 104 (5248/2257759) completed in 0m 0.856s
loss: 0.7667 corr: 100 (5376/2257759) completed in 0m 0.877s
loss: 0.9590 corr: 90 (5504/2257759) completed in 0m 0.857s
loss: 0.6553 corr: 107 (5632/2257759) completed in 0m 0.778s
loss: 0.6461 corr: 100 (5760/2257759) completed in 0m 0.840s
loss: 0.7711 corr: 97 (5888/2257759) completed in 0m 0.827s
loss: 0.7039 corr: 106 (6016/2257759) completed in 0m 0.831s
loss: 0.5304 corr: 109 (6144/2257759) completed in 0m 0.832s
loss: 0.7509 corr: 97 (6272/2257759) completed in 0m 0.823s
loss: 0.6499 corr: 103 (6400/2257759) completed in 0m 0.890s
loss: 0.7917 corr: 95 (6528/2257759) completed in 0m 0.838s
loss: 0.8370 corr: 94 (6656/2257759) completed in 0m 0.837s
loss: 0.7823 corr: 103 (6784/2257759) completed in 0m 0.876s
loss: 0.6759 corr: 105 (6912/2257759) completed in 0m 0.781s
loss: 0.8684 corr: 94 (7040/2257759) completed in 0m 0.842s
loss: 0.8131 corr: 102 (7168/2257759) completed in 0m 0.790s
loss: 0.7435 corr: 104 (7296/2257759) completed in 0m 0.842s
loss: 0.5368 corr: 107 (7424/2257759) completed in 0m 0.830s
loss: 0.6233 corr: 104 (7552/2257759) completed in 0m 0.873s
loss: 1.1509 corr: 98 (7680/2257759) completed in 0m 0.845s
loss: 0.9511 corr: 100 (7808/2257759) completed in 0m 0.824s
loss: 0.6947 corr: 100 (7936/2257759) completed in 0m 0.787s
loss: 0.7674 corr: 106 (8064/2257759) completed in 0m 0.818s
loss: 0.4805 corr: 111 (8192/2257759) completed in 0m 0.840s
loss: 0.6108 corr: 107 (8320/2257759) completed in 0m 0.856s
loss: 0.7180 corr: 98 (8448/2257759) completed in 0m 0.808s
loss: 0.7888 corr: 101 (8576/2257759) completed in 0m 0.870s
loss: 0.8804 corr: 96 (8704/2257759) completed in 0m 0.904s
loss: 0.6703 corr: 99 (8832/2257759) completed in 0m 0.830s
loss: 0.6811 corr: 101 (8960/2257759) completed in 0m 0.815s
loss: 0.8797 corr: 97 (9088/2257759) completed in 0m 0.830s
loss: 0.7301 corr: 103 (9216/2257759) completed in 0m 0.816s
loss: 0.6307 corr: 102 (9344/2257759) completed in 0m 0.816s
loss: 0.6246 corr: 99 (9472/2257759) completed in 0m 0.782s
loss: 0.6910 corr: 106 (9600/2257759) completed in 0m 0.863s
loss: 0.5981 corr: 105 (9728/2257759) completed in 0m 0.922s
loss: 0.6955 corr: 103 (9856/2257759) completed in 0m 0.801s
loss: 0.6119 corr: 105 (9984/2257759) completed in 0m 0.821s
loss: 0.8753 corr: 95 (10112/2257759) completed in 0m 0.850s
loss: 0.6010 corr: 103 (10240/2257759) completed in 0m 0.848s
loss: 0.5873 corr: 103 (10368/2257759) completed in 0m 0.820s
loss: 0.5994 corr: 106 (10496/2257759) completed in 0m 0.823s
loss: 0.8857 corr: 93 (10624/2257759) completed in 0m 0.864s
loss: 0.5085 corr: 110 (10752/2257759) completed in 0m 0.898s
loss: 0.5389 corr: 102 (10880/2257759) completed in 0m 0.911s
loss: 0.5393 corr: 104 (11008/2257759) completed in 0m 0.831s
loss: 0.7789 corr: 102 (11136/2257759) completed in 0m 0.839s
loss: 0.6903 corr: 100 (11264/2257759) completed in 0m 0.795s
loss: 0.7470 corr: 100 (11392/2257759) completed in 0m 0.831s
loss: 0.6544 corr: 100 (11520/2257759) completed in 0m 0.848s
loss: 0.5970 corr: 104 (11648/2257759) completed in 0m 0.814s
loss: 0.5575 corr: 109 (11776/2257759) completed in 0m 0.809s
loss: 0.6828 corr: 107 (11904/2257759) completed in 0m 0.833s
loss: 0.7625 corr: 99 (12032/2257759) completed in 0m 0.830s
loss: 0.6380 corr: 105 (12160/2257759) completed in 0m 0.825s
loss: 0.5799 corr: 104 (12288/2257759) completed in 0m 0.802s
loss: 0.8919 corr: 97 (12416/2257759) completed in 0m 0.796s
loss: 0.3961 corr: 114 (12544/2257759) completed in 0m 0.807s
loss: 0.6829 corr: 99 (12672/2257759) completed in 0m 0.784s
loss: 0.4461 corr: 109 (12800/2257759) completed in 0m 0.840s
loss: 0.6922 corr: 104 (12928/2257759) completed in 0m 1.001s
loss: 0.8692 corr: 94 (13056/2257759) completed in 0m 0.833s
loss: 0.7324 corr: 98 (13184/2257759) completed in 0m 0.813s
loss: 0.5857 corr: 104 (13312/2257759) completed in 0m 0.820s
loss: 0.8865 corr: 99 (13440/2257759) completed in 0m 0.832s
loss: 0.6833 corr: 101 (13568/2257759) completed in 0m 0.828s
loss: 0.7483 corr: 100 (13696/2257759) completed in 0m 0.791s
loss: 0.7552 corr: 98 (13824/2257759) completed in 0m 0.802s
loss: 0.6283 corr: 107 (13952/2257759) completed in 0m 0.832s
loss: 0.5625 corr: 105 (14080/2257759) completed in 0m 0.844s
loss: 0.7628 corr: 99 (14208/2257759) completed in 0m 0.832s
loss: 0.4878 corr: 106 (14336/2257759) completed in 0m 0.803s
loss: 0.7626 corr: 101 (14464/2257759) completed in 0m 0.803s
loss: 0.7512 corr: 102 (14592/2257759) completed in 0m 0.812s
loss: 0.5121 corr: 114 (14720/2257759) completed in 0m 0.828s
loss: 0.5816 corr: 100 (14848/2257759) completed in 0m 0.830s
loss: 0.5677 corr: 104 (14976/2257759) completed in 0m 0.856s
loss: 0.5138 corr: 109 (15104/2257759) completed in 0m 0.808s
loss: 0.5596 corr: 107 (15232/2257759) completed in 0m 0.790s
loss: 0.3897 corr: 112 (15360/2257759) completed in 0m 0.840s
loss: 0.6866 corr: 100 (15488/2257759) completed in 0m 0.828s
loss: 0.5388 corr: 107 (15616/2257759) completed in 0m 0.838s
loss: 0.8735 corr: 102 (15744/2257759) completed in 0m 0.816s
loss: 0.6645 corr: 104 (15872/2257759) completed in 0m 0.828s
loss: 0.6201 corr: 103 (16000/2257759) completed in 0m 0.892s
loss: 0.6654 corr: 102 (16128/2257759) completed in 0m 1.089s
loss: 0.7110 corr: 106 (16256/2257759) completed in 0m 0.835s
loss: 0.5765 corr: 106 (16384/2257759) completed in 0m 0.844s
loss: 0.5301 corr: 107 (16512/2257759) completed in 0m 0.814s
loss: 0.6941 corr: 96 (16640/2257759) completed in 0m 0.822s
loss: 0.5198 corr: 107 (16768/2257759) completed in 0m 0.822s
loss: 0.5471 corr: 107 (16896/2257759) completed in 0m 0.841s
loss: 0.4384 corr: 110 (17024/2257759) completed in 0m 0.875s
loss: 0.5772 corr: 100 (17152/2257759) completed in 0m 0.808s
loss: 0.6421 corr: 103 (17280/2257759) completed in 0m 0.832s
loss: 0.5477 corr: 106 (17408/2257759) completed in 0m 0.836s
loss: 0.4311 corr: 108 (17536/2257759) completed in 0m 0.843s
loss: 0.5718 corr: 106 (17664/2257759) completed in 0m 0.807s
loss: 0.5078 corr: 109 (17792/2257759) completed in 0m 0.822s
loss: 0.6285 corr: 108 (17920/2257759) completed in 0m 0.781s
loss: 0.4156 corr: 109 (18048/2257759) completed in 0m 0.905s
loss: 0.5550 corr: 114 (18176/2257759) completed in 0m 0.845s
loss: 0.6114 corr: 104 (18304/2257759) completed in 0m 0.852s
loss: 0.5040 corr: 107 (18432/2257759) completed in 0m 0.823s
loss: 0.5531 corr: 106 (18560/2257759) completed in 0m 0.785s
loss: 0.6786 corr: 102 (18688/2257759) completed in 0m 0.829s
loss: 0.6061 corr: 107 (18816/2257759) completed in 0m 0.801s
loss: 0.7057 corr: 96 (18944/2257759) completed in 0m 0.828s
loss: 0.6977 corr: 105 (19072/2257759) completed in 0m 0.938s
loss: 0.5243 corr: 105 (19200/2257759) completed in 0m 1.016s
loss: 0.6698 corr: 100 (19328/2257759) completed in 0m 0.772s
loss: 0.5726 corr: 105 (19456/2257759) completed in 0m 0.845s
loss: 0.4070 corr: 111 (19584/2257759) completed in 0m 0.816s
loss: 0.5262 corr: 110 (19712/2257759) completed in 0m 0.823s
loss: 0.5197 corr: 109 (19840/2257759) completed in 0m 0.845s
loss: 0.7519 corr: 105 (19968/2257759) completed in 0m 0.823s
loss: 0.9214 corr: 103 (20096/2257759) completed in 0m 0.877s
loss: 0.6423 corr: 107 (20224/2257759) completed in 0m 0.800s
loss: 0.6401 corr: 103 (20352/2257759) completed in 0m 0.771s
loss: 0.5354 corr: 107 (20480/2257759) completed in 0m 0.845s
loss: 0.6406 corr: 108 (20608/2257759) completed in 0m 0.868s
loss: 0.6993 corr: 96 (20736/2257759) completed in 0m 0.818s
loss: 0.6224 corr: 105 (20864/2257759) completed in 0m 0.853s
loss: 0.3947 corr: 114 (20992/2257759) completed in 0m 0.821s
loss: 0.5904 corr: 107 (21120/2257759) completed in 0m 0.837s
loss: 0.6695 corr: 100 (21248/2257759) completed in 0m 0.880s
loss: 0.5072 corr: 105 (21376/2257759) completed in 0m 0.829s
loss: 0.6540 corr: 102 (21504/2257759) completed in 0m 0.843s
loss: 0.6015 corr: 98 (21632/2257759) completed in 0m 0.859s
