loss: XXXXXXX corr: Y (ZZZZZZZZZZZ) completed in 0m 0s
Epoch 0/0
----------
loss: 1.3315 corr: 331 (512/2257759) completed in 0m 3.127s
loss: 1.2141 corr: 327 (1024/2257759) completed in 0m 1.569s
loss: 1.3207 corr: 327 (1536/2257759) completed in 0m 1.373s
loss: 1.2721 corr: 342 (2048/2257759) completed in 0m 1.287s
loss: 1.2135 corr: 351 (2560/2257759) completed in 0m 1.387s
loss: 1.1591 corr: 359 (3072/2257759) completed in 0m 1.361s
loss: 1.2126 corr: 345 (3584/2257759) completed in 0m 1.621s
loss: 1.2401 corr: 339 (4096/2257759) completed in 0m 1.540s
loss: 1.2558 corr: 339 (4608/2257759) completed in 0m 1.462s
loss: 1.2924 corr: 333 (5120/2257759) completed in 0m 1.391s
loss: 1.1213 corr: 341 (5632/2257759) completed in 0m 1.335s
loss: 1.1145 corr: 348 (6144/2257759) completed in 0m 1.596s
loss: 1.1463 corr: 355 (6656/2257759) completed in 0m 1.502s
loss: 1.0936 corr: 360 (7168/2257759) completed in 0m 1.445s
loss: 1.1916 corr: 335 (7680/2257759) completed in 0m 1.458s
loss: 1.0881 corr: 360 (8192/2257759) completed in 0m 1.312s
loss: 1.1615 corr: 349 (8704/2257759) completed in 0m 1.445s
loss: 1.2616 corr: 330 (9216/2257759) completed in 0m 1.390s
loss: 1.2054 corr: 353 (9728/2257759) completed in 0m 1.300s
loss: 1.1848 corr: 357 (10240/2257759) completed in 0m 1.439s
loss: 1.1641 corr: 343 (10752/2257759) completed in 0m 1.584s
loss: 1.0780 corr: 365 (11264/2257759) completed in 0m 1.398s
loss: 1.2022 corr: 349 (11776/2257759) completed in 0m 1.374s
loss: 1.1030 corr: 342 (12288/2257759) completed in 0m 1.294s
loss: 1.2157 corr: 352 (12800/2257759) completed in 0m 1.391s
loss: 1.2271 corr: 334 (13312/2257759) completed in 0m 1.337s
loss: 1.1656 corr: 345 (13824/2257759) completed in 0m 1.729s
loss: 1.0857 corr: 358 (14336/2257759) completed in 0m 1.377s
loss: 1.1954 corr: 335 (14848/2257759) completed in 0m 1.359s
loss: 1.1239 corr: 361 (15360/2257759) completed in 0m 1.340s
loss: 1.1116 corr: 355 (15872/2257759) completed in 0m 1.343s
loss: 1.2093 corr: 344 (16384/2257759) completed in 0m 1.360s
loss: 1.4213 corr: 323 (16896/2257759) completed in 0m 1.287s
loss: 1.2505 corr: 339 (17408/2257759) completed in 0m 1.418s
loss: 1.3002 corr: 342 (17920/2257759) completed in 0m 1.344s
loss: 1.1160 corr: 357 (18432/2257759) completed in 0m 1.423s
loss: 1.2983 corr: 334 (18944/2257759) completed in 0m 1.381s
loss: 1.4163 corr: 333 (19456/2257759) completed in 0m 1.355s
loss: 1.1837 corr: 343 (19968/2257759) completed in 0m 1.378s
loss: 1.2798 corr: 325 (20480/2257759) completed in 0m 1.337s
loss: 1.3597 corr: 335 (20992/2257759) completed in 0m 1.323s
loss: 1.3674 corr: 337 (21504/2257759) completed in 0m 1.633s
loss: 1.2980 corr: 340 (22016/2257759) completed in 0m 1.299s
loss: 1.2124 corr: 342 (22528/2257759) completed in 0m 1.382s
loss: 1.1860 corr: 345 (23040/2257759) completed in 0m 1.428s
loss: 1.3870 corr: 322 (23552/2257759) completed in 0m 1.473s
loss: 1.1628 corr: 345 (24064/2257759) completed in 0m 1.419s
loss: 1.2376 corr: 343 (24576/2257759) completed in 0m 1.602s
loss: 1.2510 corr: 341 (25088/2257759) completed in 0m 1.307s
loss: 1.2851 corr: 334 (25600/2257759) completed in 0m 1.434s
loss: 1.3582 corr: 342 (26112/2257759) completed in 0m 1.261s
loss: 1.3287 corr: 332 (26624/2257759) completed in 0m 1.326s
loss: 1.2112 corr: 350 (27136/2257759) completed in 0m 1.296s
loss: 1.0849 corr: 346 (27648/2257759) completed in 0m 1.359s
loss: 1.2609 corr: 328 (28160/2257759) completed in 0m 1.333s
loss: 1.2929 corr: 336 (28672/2257759) completed in 0m 1.250s
loss: 1.1974 corr: 351 (29184/2257759) completed in 0m 1.411s
loss: 1.3171 corr: 342 (29696/2257759) completed in 0m 1.494s
loss: 1.2329 corr: 336 (30208/2257759) completed in 0m 1.371s
loss: 1.2123 corr: 343 (30720/2257759) completed in 0m 1.292s
loss: 1.2819 corr: 345 (31232/2257759) completed in 0m 1.422s
loss: 1.2827 corr: 342 (31744/2257759) completed in 0m 1.404s
loss: 1.3177 corr: 323 (32256/2257759) completed in 0m 1.599s
loss: 1.2882 corr: 328 (32768/2257759) completed in 0m 1.387s
loss: 1.3696 corr: 329 (33280/2257759) completed in 0m 1.419s
loss: 1.2882 corr: 343 (33792/2257759) completed in 0m 1.295s
loss: 1.3312 corr: 331 (34304/2257759) completed in 0m 1.226s
loss: 1.1946 corr: 353 (34816/2257759) completed in 0m 1.369s
loss: 1.3468 corr: 339 (35328/2257759) completed in 0m 1.335s
loss: 1.3607 corr: 326 (35840/2257759) completed in 0m 1.306s
loss: 1.1371 corr: 357 (36352/2257759) completed in 0m 1.359s
loss: 1.3225 corr: 339 (36864/2257759) completed in 0m 1.409s
loss: 1.2712 corr: 324 (37376/2257759) completed in 0m 1.453s
loss: 1.2832 corr: 349 (37888/2257759) completed in 0m 1.352s
loss: 1.3184 corr: 341 (38400/2257759) completed in 0m 1.430s
loss: 1.2979 corr: 323 (38912/2257759) completed in 0m 1.424s
loss: 1.2697 corr: 338 (39424/2257759) completed in 0m 1.346s
loss: 1.1024 corr: 366 (39936/2257759) completed in 0m 1.397s
loss: 1.1368 corr: 350 (40448/2257759) completed in 0m 1.403s
loss: 1.3733 corr: 325 (40960/2257759) completed in 0m 1.437s
loss: 1.1779 corr: 351 (41472/2257759) completed in 0m 1.381s
loss: 1.3170 corr: 340 (41984/2257759) completed in 0m 1.342s
loss: 1.2691 corr: 333 (42496/2257759) completed in 0m 1.395s
loss: 1.2891 corr: 343 (43008/2257759) completed in 0m 1.528s
loss: 1.2655 corr: 344 (43520/2257759) completed in 0m 1.382s
loss: 1.4200 corr: 336 (44032/2257759) completed in 0m 1.373s
loss: 1.1762 corr: 353 (44544/2257759) completed in 0m 1.321s
loss: 1.2404 corr: 352 (45056/2257759) completed in 0m 1.699s
loss: 1.2624 corr: 357 (45568/2257759) completed in 0m 1.419s
loss: 1.2147 corr: 350 (46080/2257759) completed in 0m 1.349s
loss: 1.2958 corr: 331 (46592/2257759) completed in 0m 1.427s
loss: 1.3175 corr: 333 (47104/2257759) completed in 0m 1.283s
loss: 1.2622 corr: 346 (47616/2257759) completed in 0m 1.347s
loss: 1.3480 corr: 346 (48128/2257759) completed in 0m 1.542s
loss: 1.2470 corr: 336 (48640/2257759) completed in 0m 1.392s
loss: 1.2460 corr: 341 (49152/2257759) completed in 0m 1.358s
loss: 1.3461 corr: 337 (49664/2257759) completed in 0m 1.226s
loss: 1.2716 corr: 350 (50176/2257759) completed in 0m 1.341s
loss: 1.1693 corr: 359 (50688/2257759) completed in 0m 1.386s
loss: 1.2009 corr: 346 (51200/2257759) completed in 0m 1.509s
loss: 1.3504 corr: 332 (51712/2257759) completed in 0m 1.401s
loss: 1.2356 corr: 341 (52224/2257759) completed in 0m 1.340s
loss: 1.2534 corr: 338 (52736/2257759) completed in 0m 1.423s
loss: 1.2230 corr: 348 (53248/2257759) completed in 0m 1.458s
loss: 1.2384 corr: 338 (53760/2257759) completed in 0m 1.385s
loss: 1.2292 corr: 348 (54272/2257759) completed in 0m 1.402s
loss: 1.3927 corr: 325 (54784/2257759) completed in 0m 1.412s
loss: 1.3342 corr: 334 (55296/2257759) completed in 0m 1.370s
loss: 1.2338 corr: 342 (55808/2257759) completed in 0m 1.369s
loss: 1.4664 corr: 323 (56320/2257759) completed in 0m 1.617s
loss: 1.2200 corr: 347 (56832/2257759) completed in 0m 1.354s
loss: 1.1824 corr: 363 (57344/2257759) completed in 0m 1.319s
loss: 1.3238 corr: 339 (57856/2257759) completed in 0m 1.338s
loss: 1.2930 corr: 322 (58368/2257759) completed in 0m 1.743s
loss: 1.4220 corr: 333 (58880/2257759) completed in 0m 1.587s
loss: 1.1960 corr: 352 (59392/2257759) completed in 0m 1.372s
loss: 1.2575 corr: 348 (59904/2257759) completed in 0m 1.352s
loss: 1.4292 corr: 330 (60416/2257759) completed in 0m 1.309s
loss: 1.1412 corr: 365 (60928/2257759) completed in 0m 1.311s
loss: 1.2003 corr: 354 (61440/2257759) completed in 0m 1.350s
loss: 1.2588 corr: 326 (61952/2257759) completed in 0m 1.387s
loss: 1.3091 corr: 349 (62464/2257759) completed in 0m 1.352s
loss: 1.3196 corr: 325 (62976/2257759) completed in 0m 1.405s
loss: 1.3684 corr: 347 (63488/2257759) completed in 0m 1.376s
loss: 1.3548 corr: 330 (64000/2257759) completed in 0m 1.367s
loss: 1.3522 corr: 319 (64512/2257759) completed in 0m 1.507s
loss: 1.3064 corr: 341 (65024/2257759) completed in 0m 1.332s
loss: 1.2965 corr: 343 (65536/2257759) completed in 0m 1.340s
loss: 1.2729 corr: 341 (66048/2257759) completed in 0m 1.340s
loss: 1.3228 corr: 344 (66560/2257759) completed in 0m 1.274s
loss: 1.2766 corr: 341 (67072/2257759) completed in 0m 1.560s
loss: 1.4041 corr: 335 (67584/2257759) completed in 0m 1.208s
loss: 1.4000 corr: 318 (68096/2257759) completed in 0m 1.346s
loss: 1.3485 corr: 328 (68608/2257759) completed in 0m 1.376s
loss: 1.2807 corr: 336 (69120/2257759) completed in 0m 1.449s
loss: 1.4076 corr: 325 (69632/2257759) completed in 0m 1.790s
loss: 1.3955 corr: 327 (70144/2257759) completed in 0m 1.354s
loss: 1.2803 corr: 341 (70656/2257759) completed in 0m 1.247s
loss: 1.4388 corr: 315 (71168/2257759) completed in 0m 1.420s
loss: 1.3056 corr: 351 (71680/2257759) completed in 0m 1.414s
loss: 1.3334 corr: 338 (72192/2257759) completed in 0m 1.401s
loss: 1.3986 corr: 332 (72704/2257759) completed in 0m 1.362s
loss: 1.4193 corr: 338 (73216/2257759) completed in 0m 1.354s
loss: 1.2733 corr: 342 (73728/2257759) completed in 0m 1.327s
loss: 1.2058 corr: 363 (74240/2257759) completed in 0m 1.402s
loss: 1.2970 corr: 345 (74752/2257759) completed in 0m 1.393s
loss: 1.3614 corr: 340 (75264/2257759) completed in 0m 1.304s
loss: 1.2303 corr: 354 (75776/2257759) completed in 0m 1.574s
loss: 1.3751 corr: 336 (76288/2257759) completed in 0m 1.496s
loss: 1.4466 corr: 328 (76800/2257759) completed in 0m 1.516s
loss: 1.3595 corr: 339 (77312/2257759) completed in 0m 1.455s
loss: 1.4137 corr: 318 (77824/2257759) completed in 0m 1.459s
loss: 1.2892 corr: 339 (78336/2257759) completed in 0m 1.452s
loss: 1.3864 corr: 331 (78848/2257759) completed in 0m 1.389s
loss: 1.3804 corr: 331 (79360/2257759) completed in 0m 1.397s
loss: 1.3949 corr: 322 (79872/2257759) completed in 0m 1.216s
loss: 1.4006 corr: 329 (80384/2257759) completed in 0m 1.421s
loss: 1.4047 corr: 338 (80896/2257759) completed in 0m 1.621s
loss: 1.2497 corr: 360 (81408/2257759) completed in 0m 1.281s
loss: 1.3621 corr: 333 (81920/2257759) completed in 0m 1.364s
loss: 1.2086 corr: 352 (82432/2257759) completed in 0m 1.363s
loss: 1.1911 corr: 366 (82944/2257759) completed in 0m 1.381s
loss: 1.2737 corr: 356 (83456/2257759) completed in 0m 1.564s
loss: 1.1699 corr: 361 (83968/2257759) completed in 0m 1.429s
loss: 1.4067 corr: 328 (84480/2257759) completed in 0m 1.385s
loss: 1.3215 corr: 339 (84992/2257759) completed in 0m 1.339s
loss: 1.4695 corr: 328 (85504/2257759) completed in 0m 1.481s
loss: 1.3570 corr: 338 (86016/2257759) completed in 0m 1.360s
loss: 1.2179 corr: 348 (86528/2257759) completed in 0m 1.454s
