loss: XXXXXXX corr: Y (ZZZZZZZZZZZ) completed in 0m 0s
Epoch 0/0
----------
loss: 0.5728 corr: 110 (128/2257759) completed in 0m 2.184s
loss: 0.4574 corr: 106 (256/2257759) completed in 0m 0.810s
loss: 0.4590 corr: 116 (384/2257759) completed in 0m 0.710s
loss: 0.4073 corr: 108 (512/2257759) completed in 0m 0.723s
loss: 0.5115 corr: 114 (640/2257759) completed in 0m 0.759s
loss: 0.3094 corr: 114 (768/2257759) completed in 0m 0.845s
loss: 0.4158 corr: 110 (896/2257759) completed in 0m 0.684s
loss: 0.5980 corr: 108 (1024/2257759) completed in 0m 0.727s
loss: 0.5295 corr: 112 (1152/2257759) completed in 0m 0.710s
loss: 0.6539 corr: 103 (1280/2257759) completed in 0m 0.753s
loss: 0.4243 corr: 110 (1408/2257759) completed in 0m 0.711s
loss: 0.8556 corr: 101 (1536/2257759) completed in 0m 0.720s
loss: 0.3405 corr: 111 (1664/2257759) completed in 0m 0.756s
loss: 0.5031 corr: 112 (1792/2257759) completed in 0m 0.755s
loss: 0.3479 corr: 115 (1920/2257759) completed in 0m 0.724s
loss: 0.4466 corr: 115 (2048/2257759) completed in 0m 0.699s
loss: 0.6124 corr: 111 (2176/2257759) completed in 0m 0.743s
loss: 0.6565 corr: 102 (2304/2257759) completed in 0m 0.734s
loss: 0.5763 corr: 102 (2432/2257759) completed in 0m 0.720s
loss: 0.5652 corr: 109 (2560/2257759) completed in 0m 0.738s
loss: 0.5083 corr: 107 (2688/2257759) completed in 0m 0.736s
loss: 0.3731 corr: 112 (2816/2257759) completed in 0m 0.706s
loss: 0.4874 corr: 112 (2944/2257759) completed in 0m 0.747s
loss: 0.4982 corr: 110 (3072/2257759) completed in 0m 0.742s
loss: 0.8032 corr: 102 (3200/2257759) completed in 0m 0.741s
loss: 0.5351 corr: 108 (3328/2257759) completed in 0m 0.690s
loss: 0.4798 corr: 113 (3456/2257759) completed in 0m 0.720s
loss: 0.6089 corr: 110 (3584/2257759) completed in 0m 0.738s
loss: 0.6717 corr: 111 (3712/2257759) completed in 0m 0.796s
loss: 0.6240 corr: 110 (3840/2257759) completed in 0m 0.711s
loss: 0.7406 corr: 106 (3968/2257759) completed in 0m 0.691s
loss: 0.4803 corr: 112 (4096/2257759) completed in 0m 0.721s
loss: 0.3538 corr: 118 (4224/2257759) completed in 0m 0.709s
loss: 0.3107 corr: 117 (4352/2257759) completed in 0m 0.734s
loss: 0.5197 corr: 111 (4480/2257759) completed in 0m 0.727s
loss: 0.4568 corr: 111 (4608/2257759) completed in 0m 0.726s
loss: 0.5006 corr: 108 (4736/2257759) completed in 0m 0.723s
loss: 0.6570 corr: 105 (4864/2257759) completed in 0m 0.718s
loss: 0.4836 corr: 111 (4992/2257759) completed in 0m 0.737s
loss: 0.7571 corr: 105 (5120/2257759) completed in 0m 0.698s
loss: 0.4608 corr: 112 (5248/2257759) completed in 0m 0.737s
loss: 0.3138 corr: 119 (5376/2257759) completed in 0m 0.717s
loss: 0.5862 corr: 106 (5504/2257759) completed in 0m 0.738s
loss: 0.5371 corr: 111 (5632/2257759) completed in 0m 0.733s
loss: 0.3413 corr: 116 (5760/2257759) completed in 0m 0.752s
loss: 0.5280 corr: 110 (5888/2257759) completed in 0m 0.721s
loss: 0.3770 corr: 117 (6016/2257759) completed in 0m 0.720s
loss: 0.4831 corr: 112 (6144/2257759) completed in 0m 0.696s
loss: 0.5721 corr: 109 (6272/2257759) completed in 0m 0.771s
loss: 0.3377 corr: 113 (6400/2257759) completed in 0m 0.760s
loss: 0.5389 corr: 110 (6528/2257759) completed in 0m 0.712s
loss: 0.3369 corr: 117 (6656/2257759) completed in 0m 0.706s
loss: 0.3970 corr: 111 (6784/2257759) completed in 0m 0.747s
loss: 0.4687 corr: 108 (6912/2257759) completed in 0m 0.748s
loss: 0.7309 corr: 108 (7040/2257759) completed in 0m 0.761s
loss: 0.4907 corr: 110 (7168/2257759) completed in 0m 0.718s
loss: 0.4610 corr: 114 (7296/2257759) completed in 0m 0.742s
loss: 0.5568 corr: 112 (7424/2257759) completed in 0m 0.688s
loss: 0.4411 corr: 113 (7552/2257759) completed in 0m 0.719s
loss: 0.3608 corr: 116 (7680/2257759) completed in 0m 0.711s
loss: 0.4475 corr: 116 (7808/2257759) completed in 0m 0.740s
loss: 0.3056 corr: 118 (7936/2257759) completed in 0m 0.712s
loss: 0.5335 corr: 102 (8064/2257759) completed in 0m 0.712s
loss: 0.4418 corr: 115 (8192/2257759) completed in 0m 0.756s
loss: 0.5679 corr: 113 (8320/2257759) completed in 0m 0.755s
loss: 0.6313 corr: 105 (8448/2257759) completed in 0m 0.741s
loss: 0.5000 corr: 112 (8576/2257759) completed in 0m 0.723s
loss: 0.5737 corr: 110 (8704/2257759) completed in 0m 0.746s
loss: 0.4448 corr: 113 (8832/2257759) completed in 0m 0.722s
loss: 0.5597 corr: 108 (8960/2257759) completed in 0m 0.690s
loss: 0.5088 corr: 109 (9088/2257759) completed in 0m 0.752s
loss: 0.4669 corr: 111 (9216/2257759) completed in 0m 0.745s
loss: 0.4708 corr: 111 (9344/2257759) completed in 0m 0.763s
loss: 0.8323 corr: 104 (9472/2257759) completed in 0m 0.761s
loss: 0.3810 corr: 116 (9600/2257759) completed in 0m 0.720s
loss: 0.5798 corr: 112 (9728/2257759) completed in 0m 0.732s
loss: 0.5169 corr: 105 (9856/2257759) completed in 0m 0.744s
loss: 0.4619 corr: 109 (9984/2257759) completed in 0m 0.719s
loss: 0.4072 corr: 112 (10112/2257759) completed in 0m 0.839s
loss: 0.5753 corr: 107 (10240/2257759) completed in 0m 0.739s
loss: 0.4491 corr: 115 (10368/2257759) completed in 0m 0.768s
loss: 0.4854 corr: 108 (10496/2257759) completed in 0m 0.738s
loss: 0.5154 corr: 113 (10624/2257759) completed in 0m 0.716s
loss: 0.6171 corr: 112 (10752/2257759) completed in 0m 0.718s
loss: 0.5899 corr: 104 (10880/2257759) completed in 0m 0.721s
loss: 0.5052 corr: 109 (11008/2257759) completed in 0m 0.734s
loss: 0.6852 corr: 103 (11136/2257759) completed in 0m 0.718s
loss: 0.5976 corr: 109 (11264/2257759) completed in 0m 0.679s
loss: 0.5367 corr: 107 (11392/2257759) completed in 0m 0.839s
loss: 0.6861 corr: 102 (11520/2257759) completed in 0m 0.780s
loss: 0.5092 corr: 112 (11648/2257759) completed in 0m 0.722s
loss: 0.3703 corr: 112 (11776/2257759) completed in 0m 0.701s
loss: 0.4339 corr: 111 (11904/2257759) completed in 0m 0.716s
loss: 0.4314 corr: 113 (12032/2257759) completed in 0m 0.753s
loss: 0.5868 corr: 109 (12160/2257759) completed in 0m 0.706s
loss: 0.6978 corr: 104 (12288/2257759) completed in 0m 0.688s
loss: 0.6038 corr: 108 (12416/2257759) completed in 0m 0.753s
loss: 0.7579 corr: 102 (12544/2257759) completed in 0m 0.794s
loss: 0.5358 corr: 110 (12672/2257759) completed in 0m 0.779s
loss: 0.5683 corr: 107 (12800/2257759) completed in 0m 0.777s
loss: 0.2804 corr: 118 (12928/2257759) completed in 0m 0.730s
loss: 0.6293 corr: 113 (13056/2257759) completed in 0m 0.734s
loss: 0.5578 corr: 108 (13184/2257759) completed in 0m 0.772s
loss: 0.5358 corr: 111 (13312/2257759) completed in 0m 0.738s
loss: 0.5482 corr: 111 (13440/2257759) completed in 0m 0.675s
loss: 0.6208 corr: 106 (13568/2257759) completed in 0m 0.708s
loss: 0.6033 corr: 111 (13696/2257759) completed in 0m 0.730s
loss: 0.4686 corr: 112 (13824/2257759) completed in 0m 0.725s
loss: 0.4478 corr: 115 (13952/2257759) completed in 0m 0.730s
loss: 0.4085 corr: 116 (14080/2257759) completed in 0m 0.698s
loss: 0.6050 corr: 103 (14208/2257759) completed in 0m 0.743s
loss: 0.8272 corr: 107 (14336/2257759) completed in 0m 0.707s
loss: 0.5415 corr: 107 (14464/2257759) completed in 0m 0.724s
loss: 0.6209 corr: 106 (14592/2257759) completed in 0m 0.731s
loss: 0.5695 corr: 109 (14720/2257759) completed in 0m 0.786s
loss: 0.4771 corr: 115 (14848/2257759) completed in 0m 0.745s
loss: 0.8348 corr: 98 (14976/2257759) completed in 0m 0.707s
loss: 0.5526 corr: 106 (15104/2257759) completed in 0m 0.720s
loss: 0.5131 corr: 111 (15232/2257759) completed in 0m 0.751s
loss: 0.6914 corr: 104 (15360/2257759) completed in 0m 0.739s
loss: 0.4821 corr: 116 (15488/2257759) completed in 0m 0.699s
loss: 0.5377 corr: 109 (15616/2257759) completed in 0m 0.734s
loss: 0.4179 corr: 109 (15744/2257759) completed in 0m 0.746s
loss: 0.3858 corr: 111 (15872/2257759) completed in 0m 0.741s
loss: 0.4651 corr: 113 (16000/2257759) completed in 0m 0.743s
loss: 0.3784 corr: 115 (16128/2257759) completed in 0m 0.696s
loss: 0.3602 corr: 114 (16256/2257759) completed in 0m 0.823s
loss: 0.3485 corr: 116 (16384/2257759) completed in 0m 0.747s
loss: 0.4997 corr: 111 (16512/2257759) completed in 0m 0.755s
loss: 0.5272 corr: 113 (16640/2257759) completed in 0m 0.720s
loss: 0.3122 corr: 118 (16768/2257759) completed in 0m 0.761s
loss: 0.7119 corr: 108 (16896/2257759) completed in 0m 0.787s
loss: 0.5176 corr: 106 (17024/2257759) completed in 0m 0.758s
loss: 0.5083 corr: 112 (17152/2257759) completed in 0m 0.735s
loss: 0.6694 corr: 99 (17280/2257759) completed in 0m 0.723s
loss: 0.5268 corr: 109 (17408/2257759) completed in 0m 0.718s
loss: 0.5342 corr: 112 (17536/2257759) completed in 0m 0.717s
loss: 0.5171 corr: 116 (17664/2257759) completed in 0m 0.687s
loss: 0.4136 corr: 110 (17792/2257759) completed in 0m 0.741s
loss: 0.4077 corr: 114 (17920/2257759) completed in 0m 0.774s
loss: 0.4955 corr: 111 (18048/2257759) completed in 0m 0.726s
loss: 0.5928 corr: 105 (18176/2257759) completed in 0m 0.729s
loss: 0.7005 corr: 111 (18304/2257759) completed in 0m 0.759s
loss: 0.4375 corr: 109 (18432/2257759) completed in 0m 0.742s
loss: 0.6301 corr: 105 (18560/2257759) completed in 0m 0.727s
loss: 0.5428 corr: 112 (18688/2257759) completed in 0m 0.699s
loss: 0.4829 corr: 111 (18816/2257759) completed in 0m 0.695s
loss: 0.8191 corr: 109 (18944/2257759) completed in 0m 0.729s
loss: 0.5242 corr: 109 (19072/2257759) completed in 0m 0.712s
loss: 0.4969 corr: 109 (19200/2257759) completed in 0m 0.721s
loss: 0.5235 corr: 107 (19328/2257759) completed in 0m 0.723s
loss: 0.4618 corr: 111 (19456/2257759) completed in 0m 0.788s
loss: 0.5695 corr: 108 (19584/2257759) completed in 0m 0.726s
loss: 0.4277 corr: 116 (19712/2257759) completed in 0m 0.738s
loss: 0.4557 corr: 111 (19840/2257759) completed in 0m 0.734s
loss: 0.7211 corr: 107 (19968/2257759) completed in 0m 0.755s
loss: 0.6742 corr: 103 (20096/2257759) completed in 0m 0.711s
loss: 0.5216 corr: 109 (20224/2257759) completed in 0m 0.753s
loss: 0.3682 corr: 114 (20352/2257759) completed in 0m 0.765s
loss: 0.6677 corr: 104 (20480/2257759) completed in 0m 0.748s
loss: 0.4892 corr: 114 (20608/2257759) completed in 0m 0.719s
loss: 0.5643 corr: 107 (20736/2257759) completed in 0m 0.719s
loss: 0.4146 corr: 114 (20864/2257759) completed in 0m 0.722s
loss: 0.5474 corr: 108 (20992/2257759) completed in 0m 0.726s
loss: 0.4865 corr: 113 (21120/2257759) completed in 0m 0.731s
loss: 0.3788 corr: 115 (21248/2257759) completed in 0m 0.726s
loss: 0.3820 corr: 114 (21376/2257759) completed in 0m 0.744s
loss: 0.5120 corr: 109 (21504/2257759) completed in 0m 0.738s
loss: 0.4942 corr: 114 (21632/2257759) completed in 0m 0.730s
